date,TY_volume_chg,US_volume_chg,C_volume_chg,S_volume_chg,W_volume_chg,CD_volume_chg,EC_volume_chg,JY_volume_chg,MP_volume_chg,NQ_volume_chg,ES_volume_chg,GC_volume_chg,CL_volume_chg,TY_opening_down,TY_opening_unch,TY_opening_up,US_opening_down,US_opening_unch,US_opening_up,C_opening_down,C_opening_unch,C_opening_up,S_opening_down,S_opening_unch,S_opening_up,W_opening_down,W_opening_unch,W_opening_up,CD_opening_down,CD_opening_unch,CD_opening_up,EC_opening_down,EC_opening_unch,EC_opening_up,JY_opening_down,JY_opening_unch,JY_opening_up,MP_opening_down,MP_opening_unch,MP_opening_up,NQ_opening_down,NQ_opening_unch,NQ_opening_up,ES_opening_down,ES_opening_unch,ES_opening_up,GC_opening_down,GC_opening_unch,GC_opening_up,CL_opening_down,CL_opening_unch,CL_opening_up
2018-03-12,-7.428356811302295,-2.313207848721068,3.7313021571406133,13.02796919335226,0.9154224220260249,-4.025064136233607,-0.6966040753685714,4.693420999879721,24.29959656463006,-14.481554956919382,-6.569745820721855,-0.07999061521655082,-13.354259797043753,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
2018-03-13,2.9981891407942642,2.4339475030639255,5.936004614468027,7.3662315306268695,9.665543347797987,3.9281490209026373,8.77425791642756,3.727394989905688,6.393276441374894,-12.559932965887958,10.72764681730497,3.842696645702764,-11.46864239039072,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
2018-03-14,0.08002160522855505,-1.3000420352006774,3.590932130684199,1.179381833567162,-10.911042589688805,-4.538877150684457,11.092501835948623,4.74145569246398,13.211873439695559,-1.8193956927683381,1.2020697709331378,-3.560657665271328,-23.44941702929529,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2018-03-15,0.9617276164741817,-1.835220042515318,-8.927818082479785,-5.437243633302433,-9.741302935443857,2.039188154199639,-8.851893948336738,8.401007212907682,-0.6925107447799366,-2.668221744159534,-1.1829031589999415,0.01787810357285348,-21.539769506895897,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2018-03-16,-5.41573545552201,-4.509950845222398,-13.589350262750221,-6.936569215864832,-5.430678523986215,0.812465095498709,6.14117077654361,-12.812812552430783,-1.0194792457764827,4.754521781472508,-4.773143828170337,-4.317303057341838,11.66704202449598,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
2018-03-19,6.872269697338876,3.2313955422749516,6.904226243309987,-7.868740738888224,13.886851464869437,4.477195221666035,1.7151941097724233,-2.365157669719269,-16.782774390243905,25.601336025324667,9.41995012277372,5.311731256732793,23.07412272161946,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
2018-03-20,-8.704180963062894,-7.884218943834988,-1.4423086803635894,-13.853723088407449,-4.8065764610813755,-10.756067971460798,-9.008664418304962,-5.746506504181804,-12.122683128627388,10.57797825608899,-13.192986345941707,-2.9918879581471693,20.101951108403963,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2018-03-21,-2.893484697281286,-0.3678730780117053,-6.246937315847976,-8.278912582812751,12.362455002680688,8.753071691010456,-7.158332944106522,-8.485291566905662,-5.744938089745545,-1.1301147770546753,-6.907591677168662,-13.613468302140467,18.978136327438484,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
2018-03-22,18.198171419028924,16.268212060398902,-1.3909987655831262,1.7585145168701448,3.830838706012676,1.1013769397017976,0.8171879678382905,9.11121502942188,0.03501658680427571,15.805823337503366,16.111874932258203,-14.970798588338166,13.313051559485936,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
2018-03-23,11.380203057303472,5.7140984662246685,15.240971600379833,24.296300672681692,3.9034077542959364,-1.1933452790344268,-11.118757183283591,25.707689984950882,-1.2796845925680254,19.226927195949386,20.874529884789457,-15.634239958862103,9.962365873724382,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
2018-03-26,-0.7791470100880439,-1.3879333290656108,-7.301505905010941,-4.622880133091138,-8.799835723763204,-3.0527554645525976,-1.1220469410615264,2.1542272237704867,12.153163980561501,2.620394864242095,2.703343352475281,-11.779524092859445,0.855888735622074,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2018-03-27,9.593548714540875,7.5467675453462055,-9.894703948549136,6.440290617580145,-1.197960868536063,4.447021817664875,4.149167071149255,2.572883837177124,9.97959951145323,11.308620482505477,12.869654417812578,0.31022055406513444,-1.3636204498874351,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
