date,negative_proportion_min,negative_proportion_max,negative_proportion_mean,positive_proportion_min,positive_proportion_max,positive_proportion_mean,neutral_proportion_min,neutral_proportion_max,neutral_proportion_mean,combined_score_min,combined_score_max,combined_score_mean
2011-03-03,0.0,0.071,0.0355,0.0,0.07,0.035,0.929,0.93,0.9295,-0.1531,0.1695,0.008199999999999999
2011-03-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-08,0.0,0.0,0.0,0.0,0.135,0.0675,0.865,1.0,0.9325,0.0,0.3612,0.1806
2011-03-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-12,0.0,0.0,0.0,0.089,0.089,0.089,0.911,0.911,0.911,0.1695,0.1695,0.1695
2011-03-15,0.0,0.244,0.086,0.0,0.282,0.13019999999999998,0.532,1.0,0.7838,-0.4404,0.296,0.06621999999999999
2011-03-16,0.0,0.0,0.0,0.167,0.182,0.1745,0.818,0.833,0.8254999999999999,0.4404,0.5267,0.48355
2011-03-17,0.0,0.0,0.0,0.0,0.256,0.134,0.744,1.0,0.866,0.0,0.4754,0.30526666666666663
2011-03-18,0.0,0.108,0.027,0.0,0.332,0.15325,0.668,1.0,0.81975,-0.1779,0.7154,0.28747500000000004
2011-03-21,0.0,0.0,0.0,0.307,0.307,0.307,0.693,0.693,0.693,0.4767,0.4767,0.4767
2011-03-22,0.0,0.0,0.0,0.0,0.198,0.08875,0.802,1.0,0.91125,0.0,0.4939,0.22885
2011-03-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-29,0.0,0.0,0.0,0.0,0.244,0.122,0.756,1.0,0.878,0.0,0.7003,0.35015
2011-03-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.193,0.06433333333333334,0.807,1.0,0.9356666666666666,0.0,0.505,0.16833333333333333
2011-04-13,0.0,0.0,0.0,0.403,0.403,0.403,0.597,0.597,0.597,0.4019,0.4019,0.4019
2011-04-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-04-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-04-29,0.0,0.0,0.0,0.161,0.161,0.161,0.839,0.839,0.839,0.3182,0.3182,0.3182
2011-05-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-05-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-05-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-05-14,0.0,0.0,0.0,0.086,0.086,0.086,0.914,0.914,0.914,0.128,0.128,0.128
2011-05-16,0.0,0.0,0.0,0.152,0.152,0.152,0.848,0.848,0.848,0.5267,0.5267,0.5267
2011-05-17,0.093,0.093,0.093,0.338,0.338,0.338,0.569,0.569,0.569,0.7436,0.7436,0.7436
2011-05-18,0.242,0.242,0.242,0.0,0.0,0.0,0.758,0.758,0.758,-0.1531,-0.1531,-0.1531
2011-05-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-05-21,0.0,0.0,0.0,0.296,0.296,0.296,0.704,0.704,0.704,0.7306,0.7306,0.7306
2011-05-24,0.0,0.0,0.0,0.0,0.512,0.256,0.488,1.0,0.744,0.0,0.9403,0.47015
2011-05-27,0.0,0.16,0.08,0.0,0.557,0.2785,0.443,0.84,0.6415,-0.2263,0.9337,0.3537
2011-06-02,0.0,0.0,0.0,0.0,0.293,0.1465,0.707,1.0,0.8534999999999999,0.0,0.4404,0.2202
2011-06-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
