date,W_up_gamma_5,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2017-02-20,20470.99134959761,18504.455994783733,5349.009398779146,9612.95161486009
2017-02-21,18633.349366058075,17338.75573901124,6050.905845983154,9121.975085345694
2017-02-22,19859.154491160793,16765.81233037995,6804.558941861529,8308.657702821327
2017-02-23,17328.640889968858,23000.077188371397,5157.162548982982,11143.237377040134
2017-02-24,17710.724996019948,20517.86677719358,4874.3397971193335,10499.341755512922
2017-02-28,18333.500834634146,8580.384073868185,3385.137360902261,2789.739399240658
2017-03-01,18948.431874532682,9940.964528387654,3249.5968480002684,3269.787523360509
2017-03-02,15252.518858354473,14275.444992524766,2264.0499233467363,4488.964793235156
2017-03-03,17347.948358695758,13566.088067857025,2963.509474232149,3511.433876739806
2017-03-06,18624.955420933282,13807.454027951922,3280.9118644579794,3684.295688943448
2017-03-07,17774.8847325773,15838.892215565964,2963.2716140920456,4922.256511606525
2017-03-08,17311.22082400213,14166.735607870693,3144.437214204425,4504.759459622141
2017-03-09,22476.423295601497,10058.223033457049,4676.76409417942,2449.006706394618
2017-03-10,24176.562968334307,10370.823728509005,5626.139092186437,2514.649583848941
2017-03-13,27734.28051638522,9136.645960387394,6742.788760505686,2377.5097535311324
2017-03-14,28847.535720591117,7145.800695579771,8094.855751840878,1975.4291346422406
2017-03-15,28355.262635791012,6692.791317885858,8232.365140920403,1804.1110284677616
2017-03-16,27226.864763778558,9820.854151689242,7229.541983950901,2750.8542974733036
2017-03-17,27498.659380452777,10226.610351454525,7060.22074977685,2683.4897499179697
2017-03-20,28393.895224983033,11518.987321550934,7564.416248479498,3010.743110643225
2017-03-21,30648.344589378932,9445.414834308935,9024.561955861544,2812.8041351550264
2017-03-22,29271.63458201171,10206.513671496092,8771.553042597407,2626.8727992599697
2017-03-23,29159.17032560792,9312.87194099404,8016.539040590662,2464.8582328624325
2017-03-24,27155.288799316437,9237.273842603701,7483.308397985671,2397.846807256067
2017-03-27,24614.23455437429,9825.778476116357,6389.9188589940495,2953.762633462601
2017-03-28,25977.66885529957,8430.952558614305,6902.884992643925,1875.2472728594885
2017-03-29,27087.773362157848,8451.165394063477,6812.446054276086,2475.9559429497713
2017-03-30,28116.733500106908,11662.408275254526,7390.3531516772855,3822.412834563509
2017-03-31,28802.504039993735,11926.494615415942,8618.748397763691,3519.928337625317
2017-04-03,30320.78977505879,12595.997674606671,8698.323648457423,4639.231800457757
2017-04-04,26832.434003253304,12069.858669907402,8251.152562163687,4997.015170036982
2017-04-05,25112.62145283199,12049.728112116463,8102.92418724042,4608.7214928725325
2017-04-06,24943.2062147984,14025.246271178557,8117.272972247385,5263.216802132458
2017-04-07,29123.757060931806,11774.583362212266,10103.379718685672,4358.912375790376
2017-04-10,28828.1875339955,12440.22135962312,9331.989783026227,4902.1421547753625
2017-04-11,23786.05711929196,14637.979711003447,7035.983763105316,5662.155159615937
2017-04-12,23326.55672312746,15829.463915591143,6343.641827380336,6543.065849069513
2017-04-14,24862.18358025839,14779.179303144318,7314.389186676417,5159.776372109445
2017-04-17,25085.343887288425,13439.209757311328,8729.20863041512,4507.011449638074
2017-04-19,29024.942467321966,14370.477232256882,9016.889923826518,5956.539356993317
2017-04-20,29267.380816213725,13318.640405937405,7539.977946040148,5165.266448704309
2017-04-21,31730.552649282956,8498.304392827493,8430.239679389775,2236.8905118218117
2017-04-24,31951.493242865177,9192.288343075466,7053.460278324328,1977.9485331060387
2017-04-25,32402.57517163335,6976.726696261594,7588.469809117749,1730.593041139422
2017-04-27,31349.136906879037,10595.514769427404,6534.929135072143,2806.5968394087813
2017-04-28,29321.096489225358,15363.931335553387,5817.472413982741,3649.679608932269
2017-05-01,32297.678218856276,16098.140858160143,5716.395389583311,4031.5418823771925
2017-05-03,28194.3333652915,24132.411595545174,4665.750273764075,8473.948827426992
2017-05-05,40283.50968823404,18124.32906026302,7564.271325393718,4830.221054851832
2017-05-09,39191.81979382519,15586.718626139853,10157.544303748567,4584.248003132547
2017-05-10,38202.413195570865,10923.310985470476,11259.428194600318,3981.3683267872475
2017-05-16,38647.38464449189,10228.62861552553,12761.587358657329,3652.3141780179303
2017-05-25,34317.38511050793,14150.906633951401,11287.123275974802,4835.50103269729
2017-05-31,32679.00998380301,9469.684256587025,11392.251919028651,4178.816749946864
2017-06-02,33647.03103498017,10286.839194715492,9983.843379095233,4526.552029517629
2017-06-09,26986.640629314472,21050.196724632853,8276.957409132632,10326.889608406742
2017-06-12,28943.17727566503,18310.093281445937,9100.091973117498,8811.893430161756
2017-06-14,30756.53192510606,20687.21825551404,11076.220316267409,11359.783890023675
2017-06-15,30633.024004543382,19792.39097098856,11838.676611691186,9897.072796494671
2017-06-16,28517.545449941503,24408.010337153446,10189.622816798794,13527.230670317233
2017-06-19,27521.967219584716,25079.407110139437,10212.941542724457,13700.865437945939
2017-06-20,25435.572848628923,19033.976642958616,7902.920283599051,8283.756646181655
2017-06-22,22087.907414256944,21646.765297661594,6855.175160406066,11786.973774596068
2017-06-23,21777.840831986443,12485.05779109315,5932.972606641431,4339.47002833262
2017-06-26,17710.425109793792,12648.440303873987,2820.0336072489918,3776.00214400587
2017-06-27,20247.527540050865,10250.180867233477,3972.0923390916723,3245.1038684933546
2017-06-28,18636.145135412884,10308.021329097228,3731.6839383043607,3602.702712101628
2017-06-30,16040.350647826504,18074.60818846927,2061.87581442225,6644.22330070428
2017-07-03,13479.311349691878,17422.015981234472,1749.4957449956673,6995.317156575262
2017-07-04,11263.421291409397,15936.348993404696,1574.5062462913556,5921.650776044311
2017-07-06,10714.760114835584,18645.15021726155,1027.637220184144,5957.322533013299
2017-07-07,14109.387675195258,21813.30420115733,1812.115967265132,6691.357705052789
2017-07-10,16851.267017215607,22648.4028500625,2404.8454440104615,7040.5664889537875
2017-07-11,14737.386216419298,21931.76094203429,1863.3914405985906,7030.467669353686
2017-07-12,16070.84775190821,22772.66823101334,1983.8534909382452,7122.811602873049
2017-07-14,19164.19768739918,23330.020992179718,4999.398979726433,7579.826704916481
2017-07-17,19723.533376564315,20749.793414448905,5452.929267829555,6420.256047537141
2017-07-18,20847.696217745874,21021.7098619924,5963.822552020016,7218.91693975771
2017-07-19,21037.62783599093,20603.06151030026,5512.014515600809,6324.055354813478
2017-07-20,20712.367640124197,19733.815590894377,6107.917354258476,5507.642778713309
2017-07-21,16818.631425051757,19411.75195206906,4329.143994653561,6024.7171278986225
2017-07-24,14712.253836337053,17074.790941858653,3148.525526893118,5052.558668325088
2017-07-25,15633.042800918573,17112.82396617721,4089.1770233343905,5180.305605289543
2017-07-26,15818.07175032265,13001.55331468494,4610.096304086135,4333.704111546298
2017-07-28,17118.872676246705,13321.28481359697,4512.583353106022,4159.5525902069585
2017-07-31,17143.29724759011,13213.65668049799,4373.721331725206,3890.7595441645044
2017-08-01,15918.884026964859,12965.896109159825,4638.215866725894,3866.02396046602
2017-08-03,18000.921729438825,9275.335391997889,5761.627562726082,2916.146449951312
2017-08-04,18167.341089900165,9351.04427493236,5807.47332914883,2669.173309611313
2017-08-07,15139.196422000394,9367.659052103254,5281.285389490331,2512.551194018488
2017-08-08,14098.524745610686,12454.883405764867,4920.346801024405,4325.7698851375435
2017-08-09,14934.849081049884,10511.825056493912,5127.678439967374,3398.9179358958145
2017-08-10,14224.229344922496,10762.556119320605,5183.838809276993,4138.571419240638
2017-08-11,17569.665073910634,6143.433895580258,8150.612889118938,2489.8083509875823
2017-08-18,17124.352647626874,4462.482243166429,6927.138942795065,1307.6553214757932
2017-08-21,17079.709465179472,5321.547258850814,6774.963880599251,1767.963906230851
2017-08-22,17114.66033991849,3775.6773821881816,6845.718320587504,1245.3697417336375
2017-08-23,14221.1453183578,2868.398707342257,5524.735216494742,876.3352739826839
2017-08-24,13672.79906920995,2885.9549990220416,4532.754157459332,930.1980592398913
2017-08-25,14106.172626023112,4230.90616814057,3043.5213134210153,1164.8959488467185
2017-08-28,14159.547399760482,4145.422693439882,3115.0589629857222,1233.8918836797743
2017-08-30,13699.52873313326,4128.211089583502,3576.047887639874,1209.8054332041252
2017-08-31,14629.773338750812,4017.7384131448953,3837.7057183922843,1257.6088051361407
2017-09-05,9764.953597534808,3384.092543920632,1766.4188973950077,841.42107984114
2017-09-07,14946.27002065235,7008.40573033129,3238.556814087584,2979.153349496461
2017-09-11,13808.694380247853,6060.504202100078,3434.876893950981,2398.8403117839343
2017-09-13,16692.05780639545,8200.816316314189,4777.310299886174,3287.610695208953
2017-09-14,17193.48588946323,8157.026383814599,4818.43256548032,3420.104021813162
2017-09-15,15433.51277734592,7867.7380705875485,4480.324142838672,3360.487719116956
2017-09-20,21385.760060225064,9473.38087206117,6151.3457456742,2590.5434492659815
2017-09-21,17535.97842538339,11034.542004973882,5171.461699062082,3971.296606136835
2017-09-28,16285.127796686711,12460.374063844323,3785.3260977830396,5404.200919421213
2017-10-02,22240.15601535029,12598.464899374627,6132.503895377045,4370.862018981155
2017-10-06,19488.769585312137,5672.184575481042,7071.0991854809745,2342.688559183309
2017-10-10,21433.55128296119,6777.653297083763,8367.421272925214,2836.7516418343607
2017-10-13,22304.26881248098,3951.3563918477753,9118.34340476678,1969.2775706040507
2017-10-16,18086.779017651035,8423.633307651844,6938.912417595553,3539.9006637358325
2017-10-17,19938.639149972827,7641.020531808839,7503.782043808909,2719.765734289518
2017-10-20,21104.88930991691,6438.419985822657,9156.019008034868,2186.1603275550615
2017-10-24,16705.59636769622,7103.251190681847,6038.034004981659,2438.4639333789
2017-10-25,18649.327488411767,6971.094383556969,7485.974376684746,2744.946928256638
2017-10-31,18879.024906775445,3688.7370230051306,8610.29000952614,1666.6775827766273
2017-11-02,19071.58346452096,3234.337724980485,8416.640168318701,1191.1440173213527
2017-11-07,16615.247814868377,5299.886501507564,7679.428129345888,2171.9955557085364
2017-11-09,18616.597361614855,6080.240491718434,9318.430662245642,2440.3224618481686
2017-11-10,19581.28795676144,6086.67441677114,9329.45991887356,2694.469768832036
2017-11-13,14181.892792964372,8507.032209879477,7825.062095255298,3504.2361694529563
2017-11-16,15131.115624255455,4186.534511189167,6748.709796320571,2175.1376337663946
