date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2017-04-28,32741.25776147591,24070.58453656512,9026.443871166786,8308.276929320393
2017-05-01,35365.86575802691,26270.687696636476,9992.531137894734,8795.507744062426
2017-05-03,34897.037738184496,32377.19226861337,9505.491583100651,12693.803119163167
2017-05-05,37384.81253727236,34819.660529064306,9193.434677808393,13438.103662988528
2017-05-09,38800.901754233266,31162.2772411384,11211.666600191755,12082.213919247748
2017-05-10,39853.47925989081,33231.67682431542,9981.75388186764,14847.83512393144
2017-05-16,41632.728069316676,32689.18588744639,13886.484178558043,14434.97828584032
2017-05-18,41556.60926170277,37940.5136185508,11628.019586933358,18272.477350553385
2017-05-22,48138.564345130275,28278.19142472108,16011.995949855747,11942.76511386633
2017-05-24,42352.00751407845,27588.36699419585,14222.498100116973,10104.16045342644
2017-05-25,42479.67202062724,29437.583032897404,14260.13209474686,11659.645804669643
2017-05-31,44844.80955806935,15987.15588839906,18434.369910948488,5826.996584462126
2017-06-02,45221.26931858883,16272.315729314214,18418.195325382276,6025.271302024887
2017-06-09,52105.340066679484,30020.874754653618,18424.077619479795,12704.788190348274
2017-06-12,54330.20929521263,33360.843175540045,18369.46531905786,14054.78129590039
2017-06-13,51634.20666230835,26215.1587185885,19013.037190085204,10730.01061472694
2017-06-14,54089.29238284267,25931.945239587036,20887.02299723679,11105.16140839524
2017-06-15,54361.70139714301,26609.958848674636,21172.173656698687,11362.561095660683
2017-06-16,51705.11929988448,30268.711052011684,19465.198495826437,12895.844159964981
2017-06-19,52254.13837104944,30592.471088566806,19664.088822362573,13029.318261743854
2017-06-20,52999.24104218493,30233.556697518783,20987.005973682993,12956.082264393324
2017-06-21,46061.27063888362,24182.47321543409,14830.382683583804,10092.045017950846
2017-06-22,47789.640117056224,21330.026245935413,17105.63700636908,7546.337139185667
2017-06-23,38644.913111590315,16610.822062769013,12839.24673833793,5462.750728017174
2017-06-26,35735.324870007746,17484.544631214725,10599.5117490794,5331.471763981586
2017-06-27,37212.53865748858,17680.42700821899,11321.379764268942,5696.189293185629
2017-06-28,44646.60474206107,19399.49143136812,13418.649834276293,6386.131409072961
2017-06-30,46095.41587558924,25024.6609785261,13185.410981762252,7220.205308287306
2017-07-03,48661.57985845805,38131.678423700214,9703.632256294317,12138.978186670774
2017-07-04,48838.19754081053,38270.395974330466,9739.299098893185,12183.51531818925
2017-07-06,43318.20356404611,45387.87635809584,7148.834126401198,17459.488206386253
2017-07-07,41968.630582878475,45259.73969769906,7355.5094094852975,17650.51769646822
2017-07-10,44675.4522575934,44543.21315754152,8165.131638191131,18957.625453506324
2017-07-12,39726.89953529336,43263.11949394402,6985.150221218024,19559.557965112806
2017-07-14,44202.77432165082,47319.306909286155,11864.692535577808,19285.964408239524
2017-07-17,45509.809104191416,45595.47138010453,11520.250768691818,20637.804228306966
2017-07-18,42353.61281517316,44469.51908779946,11923.79647316334,20144.339179516544
2017-07-19,48339.45854874312,37151.21031947758,12598.30464318252,15391.46475432142
2017-07-20,49271.932140911995,38680.17787153491,12267.780143731492,16278.79151875027
2017-07-21,43979.68228309187,43107.74487065126,8625.826941253377,17340.702878668326
2017-07-24,43367.8972284814,36588.93591285486,7908.992347821695,13961.20343128092
2017-07-26,41670.51391142684,37429.23380400866,10306.557534460626,13627.165074379529
2017-07-28,44830.9867359501,38328.77511923823,10855.867337843956,15812.227433786793
2017-07-31,48135.394309940995,39982.87196452275,11733.158835027825,16160.22946825247
2017-08-01,46433.47062735223,40081.02142933564,12929.830760982906,16755.40745840966
2017-08-02,46747.00818894549,35017.26986250298,14020.406700923988,12593.122616786648
2017-08-03,42721.17262617673,35278.559188952015,13875.253895807957,14468.319984158512
2017-08-04,46159.249629217236,31571.88391274165,16434.790325947542,11927.350305658409
2017-08-07,46048.88134576017,29991.380699107034,16828.92794890252,11950.256668676437
2017-08-08,47767.29435979606,32341.208914924675,14928.831043883409,13318.783847472569
2017-08-09,48253.9429888061,34826.86290174473,15405.764489552472,14057.982257480944
2017-08-10,50029.718506114754,36543.09164623407,15899.824871360775,14905.108645275031
2017-08-11,47665.952912159206,26300.944119488126,21383.466142961355,9854.572399657554
2017-08-18,46476.02597740219,31813.188614239174,19689.90937152179,11916.092897267928
2017-08-21,43431.907281031694,35198.60736296381,18855.7576954157,14829.24237177912
2017-08-22,47276.78426192353,33942.13267535427,20117.32822634705,13925.76182765797
2017-08-23,45938.39357357495,35145.51573815114,21266.336880247283,15047.49144984184
2017-08-24,41421.29699941094,32789.901605291205,17830.70290564071,14003.197906891095
2017-08-25,40491.17321988116,37025.97571429571,16291.076909955304,14544.689833798358
2017-08-28,38513.41700747505,36225.57410944048,14376.940160493468,14575.48775417568
2017-08-30,38506.07003254677,33188.73961358393,16016.622352063208,13833.841758322487
2017-08-31,39661.8905022837,32179.693055360163,17369.748938220564,13298.28581028866
2017-09-05,30240.421679373274,33127.512148700036,11087.841707296113,13319.541161903642
2017-09-07,35526.97946994803,46867.60989838265,12245.260984065382,22415.707330717847
2017-09-11,38501.16653454876,42147.744802316876,14299.144658438694,20049.805057183697
2017-09-13,43044.98344349107,41964.178186936886,19289.708026144897,20406.33635117298
2017-09-14,38944.94770929665,42153.153839660605,17126.063375320213,24129.32749456074
2017-09-20,37373.631983857165,42620.48418359111,16223.60208843986,24001.59277514201
2017-09-21,35417.40759480646,40781.67829856693,13935.883620028504,23563.690422255775
2017-09-28,35713.50011150223,36499.34503927455,14708.582867572106,18100.923278400813
