date,C_up_gamma_5,C_down_gamma_5,C_up_diff_5,C_down_diff_5
2017-03-10,57152.11431672788,39681.23036350051,18962.65643636606,9874.025778695941
2017-03-13,61708.13293995391,37805.57953744737,20066.209408358416,7912.758415136013
2017-03-14,65215.673311139726,24938.93320441533,22723.680221462382,5760.251513460378
2017-03-15,61718.93449145772,35660.97383834652,18640.9530873791,6702.177956573549
2017-03-16,56214.96032933147,38995.49325966064,16592.574073428186,8497.20839479216
2017-03-17,53841.786776398396,41270.08949611656,15962.84380000984,10524.854634795523
2017-03-20,53121.53974040802,41659.53677917724,14605.081351656074,12073.145358281294
2017-03-21,54560.12524925717,37362.64220538054,13747.00185102193,8508.68106193117
2017-03-22,56847.29416528297,29725.738279250803,13959.100569054652,7480.3496992256005
2017-03-23,62411.985714969116,23018.11794953641,16029.422254012708,6369.965534564133
2017-03-24,58436.45032676798,22121.400075444562,15292.276127472353,5321.89983917174
2017-03-27,68498.89919515506,33531.99439211461,16296.425829774395,7353.27648057769
2017-03-28,73657.67290440366,36413.18275463603,15881.1269505678,7739.652494172522
2017-03-29,71548.9522203558,39302.02335716129,16823.826685628068,9486.701370156577
2017-03-30,74450.52673488934,40876.95184317722,17535.24145298692,10171.08108747871
2017-03-31,74998.27871271041,44400.303194333785,19430.957984400906,11025.56126845353
2017-04-03,66796.26895148699,64805.83285414202,17203.064121604883,19874.820816955493
2017-04-04,60508.79901455123,68240.48448253199,16438.039961995804,23948.64366184642
2017-04-05,73185.78554447513,58721.29955275985,18643.745977662824,19231.70820445314
2017-04-06,66956.55523551648,63326.04300583321,17399.280681113152,20665.917200416196
2017-04-07,83457.97035140354,48543.42066084883,22021.55728734188,16954.054555647068
2017-04-10,80239.56573005024,48990.05880041702,22635.595504912264,15214.264815255076
2017-04-11,58733.895190190306,66319.86082252314,16361.876804302257,24351.239671408708
2017-04-12,63617.17922642304,62306.05144000729,20559.336892471118,21306.78723447209
2017-04-14,66314.19562649495,62303.3420562513,18483.507209121024,21762.025457829775
2017-04-17,62961.73975999608,65638.6921130212,16293.21131420783,24620.974288283433
2017-04-19,88655.76591294687,42208.859312559645,19259.349930966215,13611.25548105035
2017-04-20,89757.37959064484,43896.46863843085,19350.334140699444,14346.576848360193
2017-04-21,88777.72273042743,41586.7047720892,22345.252737381044,10252.506096079313
2017-04-24,88975.43338230766,42767.79651130428,15997.371401409895,10157.029088927022
2017-04-25,86473.76366522614,46188.40144235727,14910.111941235155,11472.418965258592
2017-04-27,90901.26637794067,45049.689295517586,15309.95863120399,11622.99447003199
2017-04-28,95420.93553902706,47239.55896545956,15724.726868673577,14560.973647759027
2017-05-01,93000.17777969537,47311.629057922466,17563.665171192042,12796.387005588214
2017-05-03,86775.85266083785,63476.7748247835,14715.73777672957,17564.23434839891
2017-05-05,100656.03740330951,49578.269235135886,19079.33947400657,14085.597238880953
2017-05-08,99712.85446732528,51451.36617786038,20326.721145630407,14502.912129192438
2017-05-09,104262.44727113227,49605.94564117794,21081.791125276985,13651.940559173156
2017-05-10,103223.88964773309,50627.582805476406,21489.635147818408,15047.333974053901
2017-05-16,108019.4860311592,52354.09441776261,25032.667593245205,16812.649649526
2017-05-17,105446.61753885732,52217.71640046207,23644.44033573533,17057.923921196358
2017-05-18,89319.54796771056,63776.81836527214,19405.30373713962,21377.04068159758
2017-05-22,93033.79162654458,68904.82714964385,18022.25661465079,18752.438922745278
2017-05-24,88767.82060833334,60205.55795625709,19025.741852689316,20524.821007472696
2017-05-25,88568.38522808746,60386.46677985494,18538.927850686494,20583.099617255597
2017-05-31,99214.98326084783,52272.32969648971,20937.38676646394,16980.620207366177
2017-06-02,107840.2896501739,59893.99934524699,20127.421244289653,19424.71185357515
2017-06-06,85733.25344062301,64560.341423297235,20250.521554920444,21041.473824858847
2017-06-07,87477.39573742881,72790.40140417284,18611.41977822232,27430.742891617265
2017-06-08,75590.94350539186,84737.9690742994,14713.080231451691,30797.306410978752
2017-06-09,78623.61948929247,87116.32425270883,14823.160622083662,29850.85003314919
2017-06-12,81709.68154959992,82723.85331467372,13795.705366605325,28334.158706577968
2017-06-13,90926.45301381733,66587.04768931518,21755.368656589082,24009.76668438843
2017-06-14,84082.17182609215,69614.22889543553,19969.75478375524,28034.62352111026
2017-06-15,93487.15752336435,66103.2352187804,25358.221137169807,25428.793408381513
2017-06-16,109071.77737335242,74263.82524525106,24650.133295116495,30414.55284530807
2017-06-19,109497.01755413518,76031.34303880544,24832.37008848699,30869.593308607262
2017-06-20,107315.30480798877,74605.24767767839,28148.434298907436,27932.552429557873
2017-06-21,125987.7512381142,62670.43433790223,36025.517145476595,22383.774372989785
2017-06-22,127381.01315946117,60990.13446425482,40219.4737187096,22152.125703729267
2017-06-23,125219.1458357517,62632.09323367696,42612.20971277433,19608.664616784852
2017-06-26,92251.84257176204,44672.754534589076,17195.51333471846,10395.254893849436
2017-06-27,96416.67740166163,45214.309852138154,17680.98053201451,11537.48552495877
2017-06-28,101888.71881124683,46212.428396457515,17301.260115198733,11187.187120324466
2017-06-30,108419.68421446011,58512.313710850125,17233.61227833049,13730.751296272814
2017-07-03,90923.70586276695,75124.65509556128,14409.643937261455,20332.060226474074
2017-07-04,86911.87438243823,78793.39558166866,14167.274273403295,21019.49507280613
2017-07-06,79835.80543219508,78718.00425675923,13110.80104051155,25127.842849413544
2017-07-07,78783.88744891009,78852.99124148565,14269.884729634105,24112.815416656173
2017-07-10,88056.5832402302,78732.69781630051,13979.48745032397,24755.40985049014
2017-07-12,79225.76166312276,84528.64608880911,12443.865269423055,27493.48837469188
2017-07-14,111657.4311661004,56902.27346955767,26318.565218567033,12602.809450309891
2017-07-17,108697.54752543234,56758.73742832071,25508.342466343587,16258.81388338541
2017-07-18,107491.82341419201,58614.46371977955,27435.96514167136,19110.401291644775
2017-07-19,103588.46064529115,63109.68951006736,27373.175831331842,19356.327462442547
2017-07-20,101257.42484443425,65607.55672124567,24966.297589207665,20915.26266760275
2017-07-21,83172.93884058179,74951.63489776372,16813.064662729914,22762.518942846953
2017-07-24,94300.87386574778,63013.80237785128,17977.591994831193,15744.930735230802
