C Corn Futures
DEC16     339'0     341'0     338'0     339'6     340'0     -'4       91916      340'4      127944      760102
2700       ----      ----      ----      ----     110'3     -'6                  111'1
2750       ----      ----      ----      ----     105'5     -'6                  106'3
2800       ----      ----      ----      ----     100'7     -'6                  101'5
2850       ----      ----      ----      ----      96'2     -'6                   97'0
2900       ----      ----      ----      ----      91'5     -'6                   92'3
2950       ----      ----      ----      ----      87'1     -'5                   87'6
3000       ----      ----      ----      ----      82'5     -'5                   83'2
3050       ----      ----      ----      ----      78'2     -'5                   78'7
3100       ----      ----      ----      ----      73'7     -'6                   74'5
3150       ----      ----      ----      ----      69'6     -'5                   70'3
3200       ----      ----      ----      ----      65'5     -'5                   66'2
3250       ----      ----      ----      ----      61'5     -'5                   62'2
3300       ----      ----      ----      ----      57'6     -'5                   58'3
3350       ----      ----      ----      ----      54'1     -'5                   54'6
3400       ----      ----      ----      ----      50'4     -'5                   51'1
3450       ----      ----      ----      ----      47'1     -'4                   47'5
3500       ----      ----      ----      ----      43'7     -'4                   44'3
3550       ----      ----      ----      ----      40'7     -'4                   41'3
3600       ----      ----      ----      ----      38'0     -'4                   38'4
3650       ----      ----      ----      ----      35'2     -'5                   35'7
3700       ----      ----      ----      ----      32'6     -'4                   33'2
3750       ----      ----      ----      ----      30'4     -'4                   31'0
3800       ----      ----      ----      ----      28'3     -'4                   28'7
3850       ----      ----      ----      ----      26'3     -'4                   26'7
3900       ----      ----      ----      ----      24'5     -'4                   25'1
3950       ----      ----      ----      ----      23'0     -'3                   23'3
4000       ----      ----      ----      ----      21'4     -'3                   21'7                      28
4050       ----      ----      ----      ----      20'1     -'3                   20'4
4100       ----      ----      ----      ----      18'7     -'3                   19'2
4150       ----      ----      ----      ----      17'6     -'2                   18'0                       5
4200       ----      ----      ----      ----      16'5     -'2                   16'7                    1394
4250       ----      ----      ----      ----      15'4     -'2                   15'6
4300       ----      ----      ----      ----      14'4     -'2                   14'6
4350       ----      ----      ----      ----      13'4     -'3                   13'7
4400       ----      ----      ----      ----      12'4     -'4                   13'0
