W Wheat Futures
SEP17     504'4     508'2     495'0     507'0     505'6    +2'6       65783      503'0       71108      199071
DEC17     528'2     531'4     518'6     530'4     529'2    +2'4       29922      526'6       29023      131313
MAR18     548'0     550'4     538'4     550'4     549'4    +3'0       10242      546'4        9638       51382
MAY18     558'0     560'6B    549'2     560'6B    560'0    +3'0        1834      557'0        2150       16397
JLY18     562'2     565'2B    554'2     565'2B    564'2    +2'4        3340      561'6        3508       26934
SEP18     569'0     573'6B    563'6A    573'6B    572'6    +2'4          93      570'2         186        2190
DEC18     583'2     586'6B    577'0     586'6B    585'4    +2'2         345      583'2         720        8581
MAR19      ----     590'2B     ----     590'2B    593'0    +3'0          19      590'0          15         861
MAY19      ----      ----      ----      ----     590'4    +3'0                  587'4           8          34
JLY19     578'4     580'2B    578'4     580'2B    584'6    +6'0          12      578'6          17         284
SEP19      ----      ----      ----      ----     584'6    +6'0                  578'6
5150       ----      ----      ----      ----       9'0     -'5                    9'5
5200       ----      ----      ----      ----      10'5     -'5                   11'2
5250       ----      ----      ----      ----      12'2     -'6                   13'0
5300       ----      ----      ----      ----      14'1     -'6                   14'7
5350       ----      ----      ----      ----      16'1     -'7                   17'0
5400       ----      ----      ----      ----      18'2    -1'0                   19'2
5450       ----      ----      ----      ----      20'5    -1'0                   21'5
5500       ----      ----      ----      ----      23'1    -1'1                   24'2
5550       ----      ----      ----      ----      25'5    -1'2                   26'7
5600       ----      ----      ----      ----      28'3    -1'2                   29'5                       7
5650       ----      ----      ----      ----      31'1    -1'3                   32'4
5700       ----      ----      ----      ----      34'0    -1'3                   35'3                       9
5750       ----      ----      ----      ----      37'0    -1'3                   38'3
5800       ----      ----      ----      ----      40'0    -1'3                   41'3                       2
5850       ----      ----      ----      ----      43'1    -1'4                   44'5
5900       ----      ----      ----      ----      46'3    -1'5                   48'0                       2
5950       ----      ----      ----      ----      49'7    -1'5                   51'4
6000       ----      ----      ----      ----      53'4    -1'5                   55'1
6050       ----      ----      ----      ----      57'1    -1'6                   58'7
6100       ----      ----      ----      ----      61'0    -1'6                   62'6
6150       ----      ----      ----      ----      64'6    -1'6                   66'4
6200       ----      ----      ----      ----      68'5    -1'7                   70'4
6250       ----      ----      ----      ----      72'5    -2'0                   74'5
6300       ----      ----      ----      ----      76'6    -2'0                   78'6
6350       ----      ----      ----      ----      80'7    -2'0                   82'7
6400       ----      ----      ----      ----      85'0    -2'0                   87'0
6450       ----      ----      ----      ----      89'1    -2'1                   91'2
6500       ----      ----      ----      ----      93'3    -2'0                   95'3
6550       ----      ----      ----      ----      97'4    -2'1                   99'5
6600       ----      ----      ----      ----     101'7    -2'1                  104'0
6650       ----      ----      ----      ----     106'2    -2'1                  108'3
6700       ----      ----      ----      ----     110'5    -2'2                  112'7
6750       ----      ----      ----      ----     115'1    -2'2                  117'3
6800       ----      ----      ----      ----     119'5    -2'3                  122'0
6850       ----      ----      ----      ----     124'2    -2'3                  126'5
6900       ----      ----      ----      ----     128'7    -2'3                  131'2
