C Corn Futures
DEC16     339'2     341'4     334'6     336'2     336'6    -3'2      112766      340'0      101255      754124
2700       ----      ----      ----      ----     107'4    -2'7                  110'3
2750       ----      ----      ----      ----     102'6    -2'7                  105'5
2800       ----      ----      ----      ----      98'1    -2'6                  100'7
2850       ----      ----      ----      ----      93'4    -2'6                   96'2
2900       ----      ----      ----      ----      88'7    -2'6                   91'5
2950       ----      ----      ----      ----      84'3    -2'6                   87'1
3000       ----      ----      ----      ----      79'7    -2'6                   82'5
3050       ----      ----      ----      ----      75'4    -2'6                   78'2
3100       ----      ----      ----      ----      71'3    -2'4                   73'7
3150       ----      ----      ----      ----      67'2    -2'4                   69'6
3200       ----      ----      ----      ----      63'1    -2'4                   65'5
3250       ----      ----      ----      ----      59'1    -2'4                   61'5
3300       ----      ----      ----      ----      55'3    -2'3                   57'6
3350       ----      ----      ----      ----      51'6    -2'3                   54'1
3400       ----      ----      ----      ----      48'2    -2'2                   50'4
3450       ----      ----      ----      ----      44'7    -2'2                   47'1
3500       ----      ----      ----      ----      41'6    -2'1                   43'7
3550       ----      ----      ----      ----      38'6    -2'1                   40'7
3600       ----      ----      ----      ----      36'0    -2'0                   38'0
3650       ----      ----      ----      ----      33'3    -1'7                   35'2
3700       ----      ----      ----      ----      31'0    -1'6                   32'6
3750       ----      ----      ----      ----      28'6    -1'6                   30'4
3800       ----      ----      ----      ----      26'6    -1'5                   28'3
3850       ----      ----      ----      ----      24'7    -1'4                   26'3
3900       ----      ----      ----      ----      23'2    -1'3                   24'5
3950       ----      ----      ----      ----      21'5    -1'3                   23'0
4000       ----      ----      ----      ----      20'2    -1'2                   21'4                      28
4050       ----      ----      ----      ----      18'7    -1'2                   20'1
4100       ----      ----      ----      ----      17'5    -1'2                   18'7
4150       ----      ----      ----      ----      16'4    -1'2                   17'6                       5
4200       16'0      16'0      15'4      15'4      15'4    -1'1          58       16'5                    1394
4250       ----      ----      ----      ----      14'4    -1'0                   15'4
4300       ----      ----      ----      ----      13'4    -1'0                   14'4
4350       ----      ----      ----      ----      12'5     -'7                   13'4
4400       ----      ----      ----      ----      11'6     -'6                   12'4
4450       ----      ----      ----      ----      11'0     -'5                   11'5
4500       ----      ----      10'1A     ----      10'2     -'5                   10'7                      20
4550       ----      ----       9'4A     ----       9'4     -'5                   10'1                      25
4600       ----      ----       8'7A     ----       8'7     -'5                    9'4
4650       ----      ----       8'3A     ----       8'3     -'5                    9'0
4700       ----      ----      ----      ----       7'7     -'5                    8'4                     133
4750       ----      ----      ----      ----       7'3     -'5                    8'0
4800       ----      ----      ----      ----       7'0     -'5                    7'5
4850       ----      ----      ----      ----       6'5     -'5                    7'2
4900       ----      ----      ----      ----       6'3     -'4                    6'7
4950       ----      ----      ----      ----       6'1     -'4                    6'5
5000       ----      ----      ----      ----       5'7     -'4                    6'3
5050       ----      ----      ----      ----       5'5     -'4                    6'1
5100       ----      ----      ----      ----       5'3     -'4                    5'7
5150       ----      ----      ----      ----       5'2     -'3                    5'5
5200       ----      ----      ----      ----       5'1     -'3                    5'4
5250       ----      ----      ----      ----       5'0     -'3                    5'3

CDF JAN17 Short-Dated New Crop Corn Option PUT
2700       ----      ----      ----      ----        '1    UNCH                     '1
2750       ----      ----      ----      ----        '1    UNCH                     '1
2800       ----      ----      ----      ----        '1    UNCH                     '1
2850       ----      ----      ----      ----        '1    UNCH                     '1
2900       ----      ----      ----      ----        '1    UNCH                     '1
2950       ----      ----      ----      ----        '1    UNCH                     '1
3000       ----      ----      ----      ----        '1    UNCH                     '1
3050       ----      ----      ----      ----        '1    UNCH                     '1
3100       ----      ----      ----      ----        '2     +'1                     '1
3150       ----      ----      ----      ----        '2    UNCH                     '2
3200       ----      ----      ----      ----        '3    UNCH                     '3
3250       ----      ----      ----      ----        '5     +'1                     '4
3300       ----      ----      ----      ----        '7     +'1                     '6
3350       ----      ----      ----      ----       1'2     +'2                    1'0
3400       ----      ----      ----      ----       1'6     +'2                    1'4                      25
3450       ----      ----      ----      ----       2'3     +'3                    2'0
3500       ----      ----      ----      ----       3'2     +'4                    2'6                      29
3550       ----      ----      ----      ----       4'3     +'5                    3'6
3600       ----      ----      ----      ----       5'6     +'6                    5'0
3650       ----      ----      ----      ----       7'3     +'7                    6'4
3700       ----      ----      ----      ----       9'3    +1'1                    8'2
3750       12'0      12'0      11'7A     ----      11'5    +1'2           4       10'3          41          41
3800       ----      ----      ----      ----      14'2    +1'4                   12'6          10          10
3850       ----      15'5B     ----      ----      17'1    +1'5                   15'4
3900       ----      19'1B     ----      ----      20'3    +1'7                   18'4
3950       ----      22'6B     ----      ----      23'7    +2'0                   21'7
4000       ----      ----      ----      ----      27'6    +2'1                   25'5                      51
4050       ----      ----      ----      ----      31'6    +2'1                   29'5
4100       ----      ----      ----      ----      36'1    +2'3                   33'6
4150       ----      ----      ----      ----      40'5    +2'5                   38'0
4200       ----      ----      ----      ----      45'2    +2'6                   42'4
4250       ----      ----      ----      ----      49'7    +2'6                   47'1
4300       ----      ----      ----      ----      54'5    +2'6                   51'7
4350       ----      ----      ----      ----      59'4    +2'7                   56'5
4400       ----      ----      ----      ----      64'2    +2'7                   61'3
4450       ----      ----      ----      ----      69'1    +2'7                   66'2
4500       ----      ----      ----      ----      74'0    +2'7                   71'1
