                PRELIMINARY PRICES AS OF 01/08/18 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
AUG22      ----      ----      ----      ----      ----    UNCH                   -.07
SEP22      ----      ----      ----      ----      ----    UNCH                    .06
OCT22      ----      ----      ----      ----      ----    UNCH                    .03
NOV22      ----      ----      ----      ----      ----    UNCH                    .04
DEC22      ----      ----      ----      ----      ----    UNCH                    .01
JAN23      ----      ----      ----      ----      ----    UNCH                    .02
FEB23      ----      ----      ----      ----      ----    UNCH                   -.01
MAR23      ----      ----      ----      ----      ----    UNCH                    .02
APR23      ----      ----      ----      ----      ----    UNCH                    .04
MAY23      ----      ----      ----      ----      ----    UNCH                   -.04
JUN23      ----      ----      ----      ----      ----    UNCH                    .01
JLY23      ----      ----      ----      ----      ----    UNCH                    .04
AUG23      ----      ----      ----      ----      ----    UNCH                   -.06
SEP23      ----      ----      ----      ----      ----    UNCH                   -.01
OCT23      ----      ----      ----      ----      ----    UNCH                    .02
NOV23      ----      ----      ----      ----      ----    UNCH                   -.04
CL Light Sweet Crude Oil Futures
FEB18     61.61     61.95     61.38     61.61      ----    UNCH      191211      61.44      563036      441715
MAR18     61.59     61.90     61.36     61.59      ----    UNCH       51224      61.41      190821      384171
APR18     61.53     61.76     61.26     61.47      ----    UNCH       17870      61.30       80690      169865
MAY18     61.36     61.57     61.14     61.30B     ----    UNCH       16183      61.15       44911      137125
JUN18     61.15     61.32     60.91     61.09B     ----    UNCH       20481      60.93       68110      275056
JLY18     60.70     60.99     60.62     60.77B     ----    UNCH        6552      60.62       18320       69580
AUG18     60.38     60.56B    60.28     60.42B     ----    UNCH        3412      60.27        8183       65564
SEP18     60.09     60.22     59.95     60.07      ----    UNCH        3264      59.93       11949       86686
OCT18     59.76     59.88     59.63     59.73      ----    UNCH        1191      59.58        6004       69885
NOV18     59.34     59.49B    59.32A    59.43B     ----    UNCH        1036      59.24        3030       62825
DEC18     59.12     59.24     58.96     59.15      ----    UNCH        9020      58.93       49878      251569
JAN19     58.66     58.87     58.66     58.79B     ----    UNCH        1184      58.61        6373       80294
FEB19      ----      ----      ----      ----      ----    UNCH         705      58.27        3796       36278
MAR19      ----     58.18B     ----     58.14A     ----    UNCH         429      57.93        3818       30719
APR19      ----      ----      ----      ----      ----    UNCH          34      57.61         352       12683
