        FINAL POST-CLEARING PRICES AS OF 09/14/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC17      ----      ----      ----      ----      -.59    +.17                   -.76
FEB18      ----      ----      ----      ----      -.13    +.16                   -.29
MAR18      ----      ----      ----      ----       .01    +.15                   -.14
JUN18      ----      ----      ----      ----       .14    +.15                   -.01
SEP18      ----      ----      ----      ----       .20    +.15                    .05
DEC18      ----      ----      ----      ----       .16    +.13                    .03
MAR19      ----      ----      ----      ----       .11    +.13                   -.02
DEC19      ----      ----      ----      ----      -.13    +.07                   -.20
DEC20      ----      ----      ----      ----      -.44    +.08                   -.52
DE NG 5 MO CSO SYNTH
OCT17      ----      ----      ----      ----     -2.50    +.13                  -2.63
NOV17      ----      ----      ----      ----      1.67    +.15                   1.52
DEC17      ----      ----      ----      ----      3.49    +.11                   3.38
JAN18      ----      ----      ----      ----      4.25    +.09                   4.16
FEB18      ----      ----      ----      ----      4.00    +.07                   3.93
MAR18      ----      ----      ----      ----      3.47    +.06                   3.41
APR18      ----      ----      ----      ----       .10    +.01                    .09
MAY18      ----      ----      ----      ----      -.50    UNCH                   -.50
JUN18      ----      ----      ----      ----      -.75    -.01                   -.74
JLY18      ----      ----      ----      ----     -1.82    -.04                  -1.78
AUG18      ----      ----      ----      ----     -2.64    -.05                  -2.59
SEP18      ----      ----      ----      ----     -2.65    -.09                  -2.56
OCT18      ----      ----      ----      ----     -1.76    -.10                  -1.66
DGY NATURAL GAS CS1 SYNT
OCT17      ----      ----      ----      ----     -.057   +.003                  -.060
NOV17      ----      ----      ----      ----     -.144   +.004                  -.148
DEC17      ----      ----      ----      ----     -.100   +.003                  -.103
JAN18      ----      ----      ----      ----      .001   +.002                  -.001
FEB18      ----      ----      ----      ----      .050   +.001                   .049
MAR18      ----      ----      ----      ----      .360   +.005                   .355
APR18      ----      ----      ----      ----      .038    UNCH                   .038
MAY18      ----      ----      ----      ----     -.024   +.001                  -.025
JUN18      ----      ----      ----      ----     -.024    UNCH                  -.024
JLY18      ----      ----      ----      ----     -.003    UNCH                  -.003
AUG18      ----      ----      ----      ----      .023    UNCH                   .023
SEP18      ----      ----      ----      ----     -.022   -.001                  -.021
OCT18      ----      ----      ----      ----     -.049    UNCH                  -.049
NOV18      ----      ----      ----      ----     -.131   -.003                  -.128
DEC18      ----      ----      ----      ----     -.085   -.001                  -.084
JAN19      ----      ----      ----      ----      .022   -.004                   .026
FEB19      ----      ----      ----      ----      .067   -.002                   .069
MAR19      ----      ----      ----      ----      .378   -.004                   .382
APR19      ----      ----      ----      ----      .032   -.001                   .033
MAY19      ----      ----      ----      ----     -.023    UNCH                  -.023
JUN19      ----      ----      ----      ----     -.022    UNCH                  -.022
JLY19      ----      ----      ----      ----     -.004    UNCH                  -.004
AUG19      ----      ----      ----      ----      .014    UNCH                   .014
