DATE,LIBOR
12/17/2015,0.4021
12/18/2015,0.413
12/21/2015,0.4195
12/22/2015,0.4175
12/23/2015,0.4216
12/24/2015,0.4219
12/25/2015,0.4219
12/28/2015,0.4219
12/29/2015,0.4239
12/30/2015,0.4275
12/31/2015,0.4295
1/1/2016,0.4295
1/4/2016,0.4225
1/5/2016,0.422
1/6/2016,0.4235
1/7/2016,0.4235
1/8/2016,0.4238
1/11/2016,0.424
1/12/2016,0.4245
1/13/2016,0.4255
1/14/2016,0.4255
1/15/2016,0.4255
1/18/2016,0.426
1/19/2016,0.425
1/20/2016,0.4253
1/21/2016,0.4265
1/22/2016,0.4255
1/25/2016,0.4306
1/26/2016,0.4306
1/27/2016,0.428
1/28/2016,0.4262
1/29/2016,0.425
2/1/2016,0.427
2/2/2016,0.4285
2/3/2016,0.4285
2/4/2016,0.4277
2/5/2016,0.4289
2/8/2016,0.42925
2/9/2016,0.4285
2/10/2016,0.4265
2/11/2016,0.427
2/12/2016,0.4305
2/15/2016,0.42925
2/16/2016,0.4295
2/17/2016,0.43005
2/18/2016,0.432
2/19/2016,0.4335
2/22/2016,0.4335
2/23/2016,0.4358
2/24/2016,0.4338
2/25/2016,0.4385
2/26/2016,0.4385
2/29/2016,0.4405
3/1/2016,0.43525
3/2/2016,0.4376
3/3/2016,0.4405
3/4/2016,0.438
3/7/2016,0.4405
3/8/2016,0.44185
3/9/2016,0.438
3/10/2016,0.4381
3/11/2016,0.4362
3/14/2016,0.4413
3/15/2016,0.44125
3/16/2016,0.4399
3/17/2016,0.4321
3/18/2016,0.4283
3/21/2016,0.4318
3/22/2016,0.4315
3/23/2016,0.433
3/24/2016,0.435
3/25/2016,0.435
3/28/2016,0.435
3/29/2016,0.4329
3/30/2016,0.434
3/31/2016,0.43725
4/1/2016,0.43735
4/4/2016,0.4402
4/5/2016,0.4385
4/6/2016,0.439
4/7/2016,0.43645
4/8/2016,0.4347
4/11/2016,0.4359
4/12/2016,0.43715
4/13/2016,0.43275
4/14/2016,0.43625
4/15/2016,0.43625
4/18/2016,0.43875
4/19/2016,0.44115
4/20/2016,0.44125
4/21/2016,0.43885
4/22/2016,0.43645
4/25/2016,0.43695
4/26/2016,0.4377
4/27/2016,0.4352
4/28/2016,0.4388
4/29/2016,0.43575
5/2/2016,0.43575
5/3/2016,0.4359
5/4/2016,0.4359
5/5/2016,0.43715
5/6/2016,0.4379
5/9/2016,0.43865
5/10/2016,0.4373
5/11/2016,0.43465
5/12/2016,0.43445
5/13/2016,0.43395
5/16/2016,0.4362
5/17/2016,0.4387
5/18/2016,0.43845
5/19/2016,0.443
5/20/2016,0.44325
5/23/2016,0.446
5/24/2016,0.4442
5/25/2016,0.4497
5/26/2016,0.45445
5/27/2016,0.45665
5/30/2016,0.45665
5/31/2016,0.46885
6/1/2016,0.46955
6/2/2016,0.46305
6/3/2016,0.4648
6/6/2016,0.44705
6/7/2016,0.4458
6/8/2016,0.4453
6/9/2016,0.44705
6/10/2016,0.44655
6/13/2016,0.44205
6/14/2016,0.4423
6/15/2016,0.44605
6/16/2016,0.44805
6/17/2016,0.4478
6/20/2016,0.44805
6/21/2016,0.4508
6/22/2016,0.45205
6/23/2016,0.4533
6/24/2016,0.4493
6/27/2016,0.4588
6/28/2016,0.4603
6/29/2016,0.46655
6/30/2016,0.46505
7/1/2016,0.46755
7/4/2016,0.46955
7/5/2016,0.4703
7/6/2016,0.47255
7/7/2016,0.4743
7/8/2016,0.4758
7/11/2016,0.47785
7/12/2016,0.47935
7/13/2016,0.48135
7/14/2016,0.4821
7/15/2016,0.4833
7/18/2016,0.48655
7/19/2016,0.4853
7/20/2016,0.4874
7/21/2016,0.4879
7/22/2016,0.4904
7/25/2016,0.4909
7/26/2016,0.49265
7/27/2016,0.49565
7/28/2016,0.4939
7/29/2016,0.4959
8/1/2016,0.4939
8/2/2016,0.4939
8/3/2016,0.4969
8/4/2016,0.4984
8/5/2016,0.5039
8/8/2016,0.5119
8/9/2016,0.51315
8/10/2016,0.51765
8/11/2016,0.50765
8/12/2016,0.50665
8/15/2016,0.50744
8/16/2016,0.50744
8/17/2016,0.51411
8/18/2016,0.51244
8/19/2016,0.52106
8/22/2016,0.52217
8/23/2016,0.52439
8/24/2016,0.51994
8/25/2016,0.52383
8/26/2016,0.52439
8/29/2016,0.52439
8/30/2016,0.52322
8/31/2016,0.52489
9/1/2016,0.52294
9/2/2016,0.52572
9/5/2016,0.51933
9/6/2016,0.51656
9/7/2016,0.51322
9/8/2016,0.51822
9/9/2016,0.52689
9/12/2016,0.52772
9/13/2016,0.52428
9/14/2016,0.52956
9/15/2016,0.53094
9/16/2016,0.53178
9/19/2016,0.53617
9/20/2016,0.54306
9/21/2016,0.54633
9/22/2016,0.52528
9/23/2016,0.52222
9/26/2016,0.52444
9/27/2016,0.52667
9/28/2016,0.52438
9/29/2016,0.52722
9/30/2016,0.53111
10/3/2016,0.52833
10/4/2016,0.52722
10/5/2016,0.52567
10/6/2016,0.52956
10/7/2016,0.529
10/10/2016,0.52956
10/11/2016,0.53067
10/12/2016,0.53456
10/13/2016,0.53456
10/14/2016,0.53567
10/17/2016,0.52789
10/18/2016,0.52567
10/19/2016,0.52456
10/20/2016,0.524
10/21/2016,0.534
10/24/2016,0.534
10/25/2016,0.53589
10/26/2016,0.53478
10/27/2016,0.53433
10/28/2016,0.53267
10/31/2016,0.53378
11/1/2016,0.53044
11/2/2016,0.532
11/3/2016,0.53256
11/4/2016,0.53533
11/7/2016,0.53533
11/8/2016,0.537
11/9/2016,0.53644
11/10/2016,0.53817
11/11/2016,0.53817
11/14/2016,0.54206
11/15/2016,0.55011
11/16/2016,0.55456
11/17/2016,0.56178
11/18/2016,0.566
11/21/2016,0.56778
11/22/2016,0.58422
11/23/2016,0.592
11/24/2016,0.60256
11/25/2016,0.60589
11/28/2016,0.60561
11/29/2016,0.61672
11/30/2016,0.62367
12/1/2016,0.6345
12/2/2016,0.64667
12/5/2016,0.65194
12/6/2016,0.64889
12/7/2016,0.65417
12/8/2016,0.66389
12/9/2016,0.68
12/12/2016,0.69472
12/13/2016,0.70389
12/14/2016,0.70728
12/15/2016,0.73622
12/16/2016,0.739
12/19/2016,0.744
12/20/2016,0.749
12/21/2016,0.755
12/22/2016,0.75611
12/23/2016,0.76111
12/26/2016,0.76111
12/27/2016,0.76111
12/28/2016,0.77
12/29/2016,0.77111
12/30/2016,0.77167
1/2/2017,0.77167
1/3/2017,0.77333
1/4/2017,0.76556
1/5/2017,0.76556
1/6/2017,0.76333
1/9/2017,0.76333
1/10/2017,0.765
1/11/2017,0.76722
1/12/2017,0.76722
1/13/2017,0.76833
1/16/2017,0.76778
1/17/2017,0.76944
1/18/2017,0.77667
1/19/2017,0.77639
1/20/2017,0.77528
1/23/2017,0.77111
1/24/2017,0.77333
1/25/2017,0.77611
1/26/2017,0.77611
1/27/2017,0.77833
1/30/2017,0.78
1/31/2017,0.77944
2/1/2017,0.78
2/2/2017,0.77667
2/3/2017,0.77556
2/6/2017,0.77528
2/7/2017,0.77278
2/8/2017,0.77167
2/9/2017,0.77056
2/10/2017,0.77111
2/13/2017,0.77
2/14/2017,0.77
2/15/2017,0.77222
2/16/2017,0.78056
2/17/2017,0.77944
2/20/2017,0.77722
2/21/2017,0.77944
2/22/2017,0.77944
2/23/2017,0.77833
2/24/2017,0.78056
2/27/2017,0.78444
2/28/2017,0.78889
3/1/2017,0.81056
3/2/2017,0.83
3/3/2017,0.83444
3/6/2017,0.84667
3/7/2017,0.85444
3/8/2017,0.85778
3/9/2017,0.88139
3/10/2017,0.89056
3/13/2017,0.91222
3/14/2017,0.92833
3/15/2017,0.94278
3/16/2017,0.97833
3/17/2017,0.97611
3/20/2017,0.97722
3/21/2017,0.97722
3/22/2017,0.98389
3/23/2017,0.98167
3/24/2017,0.98278
3/27/2017,0.98222
3/28/2017,0.98222
3/29/2017,0.98222
3/30/2017,0.98278
3/31/2017,0.98278
4/3/2017,0.98333
4/4/2017,0.98611
4/5/2017,0.98556
4/6/2017,0.98944
4/7/2017,0.99
4/10/2017,0.98833
4/11/2017,0.99
4/12/2017,0.99389
4/13/2017,0.99444
4/14/2017,0.99444
4/17/2017,0.99444
4/18/2017,0.99278
4/19/2017,0.99111
4/20/2017,0.98833
4/21/2017,0.99056
4/24/2017,0.99111
4/25/2017,0.99222
4/26/2017,0.99278
4/27/2017,0.995
4/28/2017,0.995
5/1/2017,0.995
5/2/2017,0.99278
5/3/2017,0.99167
5/4/2017,0.99278
5/5/2017,0.99444
5/8/2017,0.99411
5/9/2017,0.98856
5/10/2017,0.98856
5/11/2017,0.98911
5/12/2017,0.99244
5/15/2017,1.00078
5/16/2017,0.99911
5/17/2017,1.00356
5/18/2017,1.00994
5/19/2017,1.01711
5/22/2017,1.02939
5/23/2017,1.02356
5/24/2017,1.03272
5/25/2017,1.04383
5/26/2017,1.04467
5/29/2017,1.04467
5/30/2017,1.0505
5/31/2017,1.06033
6/1/2017,1.07589
6/2/2017,1.08617
6/5/2017,1.08422
6/6/2017,1.08867
6/7/2017,1.096
6/8/2017,1.11711
6/9/2017,1.12711
6/12/2017,1.13933
6/13/2017,1.15889
6/14/2017,1.17167
6/15/2017,1.20944
