W Wheat Futures
DEC16     420'4     422'2     413'0     420'2     420'2     +'2       59981      420'0       60252      284442
MAR17     440'2     442'4     433'0     441'4     440'6     +'6       22713      440'0       22212      104419
MAY17     453'6     456'0     447'2     455'4     455'2    +1'2        5264      454'0        5751       25619
JLY17     465'4     467'2     458'4     466'2     467'0    +1'4        3391      465'4        3939       44814
SEP17     479'6     481'4B    473'4A    481'0     481'0    +1'2         971      479'6         867        5512
DEC17     496'4     498'4     490'6     497'4     497'4    +1'0         761      496'4         868        9461
MAR18      ----      ----     506'6A    509'4B    510'4     +'4          13      510'0          16        2214
5700       ----      ----      ----      ----     103'2    -1'4                  104'6
5750       ----      ----      ----      ----     108'1    -1'4                  109'5
5800       ----      ----      ----      ----     113'1    -1'4                  114'5
5850       ----      ----      ----      ----     118'1    -1'4                  119'5
5900       ----      ----      ----      ----     123'1    -1'4                  124'5
5950       ----      ----      ----      ----     128'1    -1'4                  129'5
6000       ----      ----      ----      ----     133'1    -1'3                  134'4
6050       ----      ----      ----      ----     138'0    -1'4                  139'4
6100       ----      ----      ----      ----     143'0    -1'4                  144'4
6150       ----      ----      ----      ----     148'0    -1'4                  149'4
6200       ----      ----      ----      ----     153'0    -1'4                  154'4
6250       ----      ----      ----      ----     158'0    -1'4                  159'4
6300       ----      ----      ----      ----     163'0    -1'4                  164'4
6350       ----      ----      ----      ----     168'0    -1'4                  169'4
6400       ----      ----      ----      ----     173'0    -1'4                  174'4
6450       ----      ----      ----      ----     178'0    -1'4                  179'4
6500       ----      ----      ----      ----     183'0    -1'4                  184'4
6550       ----      ----      ----      ----     188'0    -1'4                  189'4
6600       ----      ----      ----      ----     193'0    -1'4                  194'4
6650       ----      ----      ----      ----     198'0    -1'4                  199'4
6700       ----      ----      ----      ----     203'0    -1'4                  204'4
6750       ----      ----      ----      ----     208'0    -1'4                  209'4
6800       ----      ----      ----      ----     213'0    -1'4                  214'4
6850       ----      ----      ----      ----     218'0    -1'4                  219'4
6900       ----      ----      ----      ----     223'0    -1'4                  224'4
6950       ----      ----      ----      ----     228'0    -1'4                  229'4
7000       ----      ----      ----      ----     233'0    -1'4                  234'4
7050       ----      ----      ----      ----     238'0    -1'4                  239'4
7100       ----      ----      ----      ----     243'0    -1'4                  244'4
7150       ----      ----      ----      ----     248'0    -1'4                  249'4
7200       ----      ----      ----      ----     253'0    -1'4                  254'4
7250       ----      ----      ----      ----     258'0    -1'4                  259'4
7300       ----      ----      ----      ----     263'0    -1'4                  264'4
WDF MAR17 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1     -'1                     '2
3700       ----      ----      ----      ----        '1     -'1                     '2
3750       ----      ----      ----      ----        '2    UNCH                     '2
3800       ----      ----      ----      ----        '3    UNCH                     '3
3850       ----      ----      ----      ----        '4     -'1                     '5
3900       ----      ----      ----      ----        '6     -'1                     '7
3950       ----      ----      ----      ----       1'1     -'1                    1'2
4000       ----      ----      ----      ----       1'5     -'1                    1'6
4050       ----      ----      ----      ----       2'2     -'1                    2'3
4100       ----      ----      ----      ----       3'1     -'1                    3'2
4150       ----      ----      ----      ----       4'0     -'2                    4'2
4200       ----      ----      ----      ----       5'1     -'2                    5'3
4250       ----      ----      ----      ----       6'3     -'3                    6'6
4300       ----      ----      ----      ----       7'6     -'4                    8'2
4350       ----      ----      ----      ----       9'3     -'4                    9'7
4400       ----      ----      ----      ----      11'1     -'5                   11'6
4450       ----      ----      ----      ----      13'1     -'5                   13'6
4500       ----      ----      ----      ----      15'3     -'5                   16'0
4550       ----      ----      ----      ----      17'6     -'5                   18'3
4600       ----      ----      ----      ----      20'3     -'5                   21'0
4650       ----      ----      ----      ----      23'0     -'7                   23'7
4700       ----      ----      ----      ----      26'0     -'6                   26'6
4750       ----      ----      ----      ----      29'0     -'7                   29'7
4800       ----      ----      ----      ----      32'1    -1'0                   33'1
4850       ----      ----      ----      ----      35'4    -1'0                   36'4
4900       ----      ----      ----      ----      38'7    -1'0                   39'7
4950       ----      ----      ----      ----      42'3    -1'1                   43'4
5000       ----      ----      ----      ----      46'1    -1'1                   47'2
5050       ----      ----      ----      ----      50'0    -1'1                   51'1
5100       ----      ----      ----      ----      53'7    -1'2                   55'1
5150       ----      ----      ----      ----      57'7    -1'2                   59'1
5200       ----      ----      ----      ----      62'0    -1'2                   63'2
5250       ----      ----      ----      ----      66'2    -1'2                   67'4
5300       ----      ----      ----      ----      70'4    -1'3                   71'7                      50
5350       ----      ----      ----      ----      74'7    -1'3                   76'2
5400       ----      ----      ----      ----      79'3    -1'2                   80'5                      26
5450       ----      ----      ----      ----      83'6    -1'3                   85'1
5500       ----      ----      ----      ----      88'2    -1'3                   89'5
5550       ----      ----      ----      ----      92'7    -1'3                   94'2
5600       ----      ----      ----      ----      97'4    -1'3                   98'7
5650       ----      ----      ----      ----     102'1    -1'3                  103'4
5700       ----      ----      ----      ----     106'7    -1'3                  108'2
5750       ----      ----      ----      ----     111'5    -1'3                  113'0
5800       ----      ----      ----      ----     116'3    -1'3                  117'6
5850       ----      ----      ----      ----     121'1    -1'3                  122'4
5900       ----      ----      ----      ----     125'7    -1'4                  127'3
5950       ----      ----      ----      ----     130'6    -1'4                  132'2
6000       ----      ----      ----      ----     135'5    -1'3                  137'0
6050       ----      ----      ----      ----     140'4    -1'2                  141'6
6100       ----      ----      ----      ----     145'1    -1'4                  146'5
6150       ----      ----      ----      ----     150'0    -1'4                  151'4
6200       ----      ----      ----      ----     154'7    -1'4                  156'3
6250       ----      ----      ----      ----     159'6    -1'4                  161'2
6300       ----      ----      ----      ----     164'5    -1'4                  166'1
6350       ----      ----      ----      ----     169'4    -1'4                  171'0
6400       ----      ----      ----      ----     174'3    -1'4                  175'7
6450       ----      ----      ----      ----     179'3    -1'3                  180'6
6500       ----      ----      ----      ----     184'2    -1'3                  185'5
6550       ----      ----      ----      ----     189'1    -1'4                  190'5
6600       ----      ----      ----      ----     194'1    -1'3                  195'4
6650       ----      ----      ----      ----     199'0    -1'4                  200'4
6700       ----      ----      ----      ----     203'7    -1'4                  205'3
6750       ----      ----      ----      ----     208'7    -1'3                  210'2
6800       ----      ----      ----      ----     213'6    -1'4                  215'2
6850       ----      ----      ----      ----     218'6    -1'4                  220'2
6900       ----      ----      ----      ----     223'6    -1'3                  225'1
6950       ----      ----      ----      ----     228'5    -1'4                  230'1
7000       ----      ----      ----      ----     233'5    -1'3                  235'0
7050       ----      ----      ----      ----     238'5    -1'3                  240'0
7100       ----      ----      ----      ----     243'4    -1'4                  245'0
7150       ----      ----      ----      ----     248'4    -1'4                  250'0
7200       ----      ----      ----      ----     253'4    -1'3                  254'7
7250       ----      ----      ----      ----     258'3    -1'4                  259'7
7300       ----      ----      ----      ----     263'3    -1'4                  264'7

WZ NOV16 Wheat Options CALL
2950       ----     126'2B    119'2A     ----     125'3     +'2                  125'1
3000       ----     121'2B    114'2A     ----     120'3     +'2                  120'1
3050       ----     116'2B    109'2A     ----     115'3     +'2                  115'1
3100       ----     111'2B    104'2A     ----     110'3     +'2                  110'1
3150       ----     106'2B     99'2A     ----     105'3     +'2                  105'1
3200       ----     101'2B     94'2A     ----     100'3     +'2                  100'1
3250       ----      96'2B     89'2A     ----      95'3     +'2                   95'1
3300       ----      91'2B     84'2A     ----      90'3     +'2                   90'1
3350       ----      86'2B     79'2A     ----      85'3     +'2                   85'1
3400       ----      81'2B     74'2A     ----      80'3     +'2                   80'1
3450       ----      76'2B     69'2A     ----      75'3     +'2                   75'1
3500       ----      71'2B     64'2A     ----      70'3     +'2                   70'1
3550       ----      66'2B     59'2A     ----      65'3     +'2                   65'1
3600       ----      61'2B     54'2A     ----      60'3     +'2                   60'1
3650       ----      56'2B     49'2A     ----      55'3     +'2                   55'1                       5
3700       ----      51'2B     44'2A     ----      50'3     +'2                   50'1
3750       ----      46'2B     39'2A     ----      45'3     +'2                   45'1                       2
3800       ----      41'2B     34'2A     ----      40'3     +'2                   40'1                      23
3850       ----      36'2B     29'2A     ----      35'3     +'2                   35'1                      25
3900       ----      31'2B     24'2A     ----      30'3     +'2                   30'1                     672
