                PRELIMINARY PRICES AS OF 01/22/19 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JUN24      ----      ----      ----      ----      ----    UNCH                   -.01
JLY24      ----      ----      ----      ----      ----    UNCH                    .01
AUG24      ----      ----      ----      ----      ----    UNCH                    .02
SEP24      ----      ----      ----      ----      ----    UNCH                    .00
OCT24      ----      ----      ----      ----      ----    UNCH                   -.04
NOV24      ----      ----      ----      ----      ----    UNCH                   -.04
DEC24      ----      ----      ----      ----      ----    UNCH                    .07
JAN25      ----      ----      ----      ----      ----    UNCH                    .00
FEB25      ----      ----      ----      ----      ----    UNCH                    .00
MAR25      ----      ----      ----      ----      ----    UNCH                   -.02
APR25      ----      ----      ----      ----      ----    UNCH                    .02
MAY25      ----      ----      ----      ----      ----    UNCH                    .02
JUN25      ----      ----      ----      ----      ----    UNCH                   -.04
JLY25      ----      ----      ----      ----      ----    UNCH                    .00
AUG25      ----      ----      ----      ----      ----    UNCH                   -.01
SEP25      ----      ----      ----      ----      ----    UNCH                    .02
OCT25      ----      ----      ----      ----      ----    UNCH                   -.05
NOV25      ----      ----      ----      ----      ----    UNCH                    .01
DEC25      ----      ----      ----      ----      ----    UNCH                    .06
JAN26      ----      ----      ----      ----      ----    UNCH                   -.05
FEB26      ----      ----      ----      ----      ----    UNCH                    .03
MAR26      ----      ----      ----      ----      ----    UNCH                   -.04
APR26      ----      ----      ----      ----      ----    UNCH                    .00
MAY26      ----      ----      ----      ----      ----    UNCH                    .01
JUN26      ----      ----      ----      ----      ----    UNCH                   -.06
JLY26      ----      ----      ----      ----      ----    UNCH                    .00
AUG26      ----      ----      ----      ----      ----    UNCH                   -.01
SEP26      ----      ----      ----      ----      ----    UNCH                   -.02
OCT26      ----      ----      ----      ----      ----    UNCH                   -.06
NOV26      ----      ----      ----      ----      ----    UNCH                    .02
DEC26      ----      ----      ----      ----      ----    UNCH                    .05
JAN27      ----      ----      ----      ----      ----    UNCH                   -.01
FEB27      ----      ----      ----      ----      ----    UNCH                    .03
MAR27      ----      ----      ----      ----      ----    UNCH                    .00
APR27      ----      ----      ----      ----      ----    UNCH                    .02
MAY27      ----      ----      ----      ----      ----    UNCH                    .03
JUN27      ----      ----      ----      ----      ----    UNCH                   -.03
JLY27      ----      ----      ----      ----      ----    UNCH                    .01
AUG27      ----      ----      ----      ----      ----    UNCH                    .02
SEP27      ----      ----      ----      ----      ----    UNCH                    .00
OCT27      ----      ----      ----      ----      ----    UNCH                   -.03
NOV27      ----      ----      ----      ----      ----    UNCH                    .01
DEC27      ----      ----      ----      ----      ----    UNCH                    .08
JAN28      ----      ----      ----      ----      ----    UNCH                   -.01
CL Light Sweet Crude Oil Futures
FEB19     53.73     54.24     52.56     52.65      ----    UNCH       22451      53.80      193099       25682
MAR19     53.95     54.51     52.79     52.95      ----    UNCH      528884      54.04      669504      505601
APR19     54.10     54.76     53.10     53.25      ----    UNCH       31345      54.30       92227      157733
MAY19     54.45     55.09B    53.48     53.63B     ----    UNCH       16169      54.64       55891      142101
JUN19     54.95     55.42     53.85     54.01B     ----    UNCH       24256      54.99       76336      245792
JLY19     55.02     55.55     54.16     54.32B     ----    UNCH        7803      55.27       38844      127585
AUG19     55.55     55.68     54.39     54.47      ----    UNCH        6595      55.43       18177       70298
SEP19     55.32     55.75     54.52     54.62      ----    UNCH       10051      55.51       27393       86731
OCT19     55.15     55.75     54.65     54.69      ----    UNCH        6846      55.53       16408       62665
