W Wheat Futures
DEC16     404'0     414'0     402'6     411'2     411'4    +7'2       69000      404'2       61130      292474
MAR17     426'4     434'4     424'4     431'6     432'0    +5'2       26930      426'6       25073      108979
MAY17     441'4     449'4     440'0     447'0     447'2    +4'4        6174      442'6        6520       28323
JLY17     454'6     462'4     452'6     460'4B    460'4    +4'6        8597      455'6        7190       47346
SEP17     471'0     476'2B    469'0A    476'0     476'0    +5'2        1249      470'6        1982        6855
DEC17     487'0     494'0B    485'2     493'0     493'2    +5'6         798      487'4         801       10717
MAR18     507'2     507'6     507'2     507'6     506'6    +5'6          21      501'0          62        2306
MAY18      ----      ----      ----      ----     511'4    +5'6                  505'6                      30
3350       ----      72'4B     ----      ----      76'5    +7'2                   69'3
3400       ----      66'7B     ----      ----      71'5    +7'2                   64'3
3450       ----      61'7B     ----      ----      66'5    +7'2                   59'3
3500       ----      ----      ----      ----      61'5    +7'2                   54'3
3550       ----      ----      ----      ----      56'5    +7'1                   49'4
3600       ----      52'7B     ----      ----      51'6    +7'1                   44'5
3650       ----      47'5B     ----      ----      46'7    +7'1                   39'6                       1
3700       ----      43'1B     ----      ----      42'0    +7'0                   35'0                      80
3750       ----      38'2B     ----      ----      37'2    +6'6                   30'4                      20
3800       ----      33'4B     ----      ----      32'5    +6'4                   26'1                     142
3850       23'2      29'2B     21'7A     ----      28'2    +6'1           1       22'1          40          30
3900       18'5      25'0      17'4      25'0      24'1    +5'5          42       18'4           1         364
3950       ----      21'1B     14'7A     ----      20'3    +5'0          17       15'3          26         396
4000       15'1      18'2B     11'7A     18'0      17'0    +4'3         106       12'5        1417        4403
4050       12'0      15'3B      9'5A     ----      14'0    +3'6         258       10'2         425        1383
4100        9'5      12'6       7'6A     ----      11'4    +3'1         667        8'3        2705       15102
4150        7'5      10'4B      6'1A     ----       9'3    +2'5         111        6'6         507        2168
4200        6'0       8'4B      4'7A      7'7       7'5    +2'2        1041        5'3        1422        8580
4250        4'1       6'7       3'7A     ----       6'1    +1'6         271        4'3         651        3493
4300        3'4       5'4       3'1A     ----       4'7    +1'3        1081        3'4         546        7492
4350        2'6       4'4       2'4A     ----       3'7    +1'1         127        2'6         164        3297
4400        2'4       3'5       2'0A     ----       3'1     +'7         415        2'2        1174        9252
4450        1'7       2'6B      1'5A     ----       2'4     +'5          26        1'7         606        3529
4500        1'3       2'2B      1'3      ----       2'0     +'4          60        1'4         509        7586
