W Wheat Futures
DEC16     403'0     410'0     400'2     407'0     408'0    +5'0       51687      403'0       60284      136793
MAR17     419'4     427'4     416'6     424'2     425'2    +5'2       46657      420'0       55704      236385
MAY17     433'0     440'2     430'2     438'4     439'0    +5'6       11987      433'2       11508       49188
JLY17     447'4     454'4     444'6     452'6B    453'6    +5'4        5864      448'2        5781       58817
SEP17     462'0     469'0     460'4     467'6     468'4    +4'4         879      464'0         629       10507
DEC17     482'0     488'2     480'0     486'4     487'2    +3'2        1909      484'0         939       18657
MAR18     497'6     497'6     495'6A    497'2     498'4    +2'2          73      496'2          31        3165
MAY18     505'4     506'4     505'4     506'4     506'2    +2'4          36      503'6                     236
JLY18     512'4     512'4     512'4     512'4     510'2    +4'6           2      505'4                     197
SEP18     525'0     527'0     525'0     527'0     524'2    +5'2           2      519'0                     169
DEC18     543'4     543'4     543'4     543'4     543'0    +2'2           5      540'6           5         118
MAR19      ----     556'0B     ----     556'0B    550'4    +9'6                  540'6
6850       ----      ----      ----      ----     231'3    -5'4                  236'7
6900       ----      ----      ----      ----     236'3    -5'4                  241'7
6950       ----      ----      ----      ----     241'3    -5'4                  246'7
7000       ----      ----      ----      ----     246'3    -5'4                  251'7
7050       ----      ----      ----      ----     251'3    -5'4                  256'7
7100       ----      ----      ----      ----     256'3    -5'4                  261'7
7150       ----      ----      ----      ----     261'3    -5'4                  266'7
7200       ----      ----      ----      ----     266'3    -5'4                  271'7
7250       ----      ----      ----      ----     271'3    -5'4                  276'7
7300       ----      ----      ----      ----     276'3    -5'4                  281'7
WDF MAR17 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '2    UNCH                     '2
3750       ----      ----      ----      ----        '3    UNCH                     '3
3800       ----      ----      ----      ----        '4     -'1                     '5
3850       ----      ----      ----      ----        '6     -'2                    1'0
3900       ----      ----      ----      ----       1'0     -'3                    1'3
3950       ----      ----      ----      ----       1'4     -'3                    1'7
4000       ----      ----      ----      ----       2'1     -'4                    2'5
4050       ----      ----      ----      ----       2'6     -'6                    3'4
4100       ----      ----      ----      ----       3'5     -'7                    4'4
4150       ----      ----      ----      ----       4'6    -1'0                    5'6
4200       ----      ----      ----      ----       6'0    -1'2                    7'2
4250       ----      ----      ----      ----       7'4    -1'3                    8'7
4300       ----      ----      ----      ----       9'1    -1'5                   10'6
4350       ----      ----      ----      ----      10'7    -2'0                   12'7
4400       ----      ----      ----      ----      13'0    -2'1                   15'1
4450       ----      ----      ----      ----      15'2    -2'3                   17'5
4500       ----      ----      ----      ----      17'5    -2'6                   20'3
4550       ----      ----      ----      ----      20'3    -2'7                   23'2
4600       ----      ----      ----      ----      23'2    -3'1                   26'3
4650       ----      ----      ----      ----      26'3    -3'3                   29'6
4700       ----      ----      ----      ----      29'5    -3'5                   33'2
4750       ----      ----      ----      ----      33'1    -3'6                   36'7
4800       ----      ----      ----      ----      36'6    -3'6                   40'4
4850       ----      ----      ----      ----      40'3    -4'1                   44'4
4900       ----      ----      ----      ----      44'2    -4'2                   48'4
4950       ----      ----      ----      ----      48'2    -4'3                   52'5
5000       ----      ----      ----      ----      52'3    -4'4                   56'7
5050       ----      ----      ----      ----      56'5    -4'5                   61'2
5100       ----      ----      ----      ----      61'0    -4'6                   65'6
5150       ----      ----      ----      ----      65'3    -4'7                   70'2
5200       ----      ----      ----      ----      69'7    -4'7                   74'6
5250       ----      ----      ----      ----      74'3    -5'0                   79'3
5300       ----      ----      ----      ----      79'0    -5'1                   84'1                      50
5350       ----      ----      ----      ----      83'5    -5'2                   88'7
5400       ----      ----      ----      ----      88'3    -5'2                   93'5                      26
5450       ----      ----      ----      ----      93'1    -5'2                   98'3
5500       ----      ----      ----      ----      97'7    -5'2                  103'1
5550       ----      ----      ----      ----     102'5    -5'1                  107'6
5600       ----      ----      ----      ----     107'3    -5'2                  112'5
5650       ----      ----      ----      ----     112'2    -5'2                  117'4
5700       ----      ----      ----      ----     117'0    -5'3                  122'3
5750       ----      ----      ----      ----     121'7    -5'4                  127'3
5800       ----      ----      ----      ----     126'7    -5'3                  132'2
5850       ----      ----      ----      ----     131'6    -5'3                  137'1
5900       ----      ----      ----      ----     136'5    -5'3                  142'0
5950       ----      ----      ----      ----     141'4    -5'4                  147'0
6000       ----      ----      ----      ----     146'4    -5'4                  152'0
6050       ----      ----      ----      ----     151'3    -5'4                  156'7
6100       ----      ----      ----      ----     156'3    -5'4                  161'7
6150       ----      ----      ----      ----     161'3    -5'4                  166'7
6200       ----      ----      ----      ----     166'3    -5'4                  171'7
6250       ----      ----      ----      ----     171'3    -5'4                  176'7
6300       ----      ----      ----      ----     176'3    -5'3                  181'6
6350       ----      ----      ----      ----     181'2    -5'4                  186'6
6400       ----      ----      ----      ----     186'2    -5'4                  191'6
6450       ----      ----      ----      ----     191'2    -5'4                  196'6
6500       ----      ----      ----      ----     196'2    -5'4                  201'6
6550       ----      ----      ----      ----     201'2    -5'4                  206'6
6600       ----      ----      ----      ----     206'2    -5'4                  211'6
6650       ----      ----      ----      ----     211'2    -5'4                  216'6
6700       ----      ----      ----      ----     216'2    -5'4                  221'6
6750       ----      ----      ----      ----     221'2    -5'4                  226'6
6800       ----      ----      ----      ----     226'2    -5'4                  231'6
6850       ----      ----      ----      ----     231'2    -5'4                  236'6
6900       ----      ----      ----      ----     236'2    -5'4                  241'6
6950       ----      ----      ----      ----     241'2    -5'4                  246'6
7000       ----      ----      ----      ----     246'2    -5'4                  251'6
7050       ----      ----      ----      ----     251'2    -5'4                  256'6
7100       ----      ----      ----      ----     256'2    -5'4                  261'6
7150       ----      ----      ----      ----     261'2    -5'4                  266'6
7200       ----      ----      ----      ----     266'2    -5'4                  271'6
7250       ----      ----      ----      ----     271'2    -5'4                  276'6
7300       ----      ----      ----      ----     276'2    -5'4                  281'6

WZ DEC16 Wheat Options CALL
2000       ----     208'4B     ----      ----     208'1    +5'0                  203'1
2100       ----      ----      ----      ----     198'1    +5'0                  193'1
2200       ----      ----      ----      ----     188'1    +5'0                  183'1
2300       ----      ----      ----      ----     178'1    +5'0                  173'1
2400       ----      ----     162'4A     ----     168'1    +5'0                  163'1
2500       ----      ----     152'4A     ----     158'1    +5'0                  153'1
2600       ----      ----     142'4A     ----     148'1    +5'0                  143'1
2700       ----      ----     132'4A     ----     138'1    +5'0                  133'1
2800       ----      ----     122'4A     ----     128'1    +5'0                  123'1
2900       ----      ----     112'4A     ----     118'1    +5'0                  113'1
2950       ----     113'2B    107'4A     ----     113'1    +5'0                  108'1
3000       ----      ----     102'4A     ----     108'1    +5'0                  103'1
3050       ----      ----      97'4A     ----     103'1    +5'0                   98'1
3100       ----      ----      92'4A     ----      98'1    +5'0                   93'1
3150       ----      ----      87'4A     ----      93'1    +5'0                   88'1
3200       ----      ----      82'4A     ----      88'1    +5'0                   83'1
3250       ----      ----      77'4A     ----      83'1    +5'0                   78'1
3300       ----      ----      72'4A     ----      78'1    +5'0                   73'1
3350       ----      ----      67'4A     ----      73'1    +5'0                   68'1
3400       ----      ----      62'4A     ----      68'1    +5'0                   63'1
3450       ----      58'6B     57'4A     ----      63'1    +5'0                   58'1
3500       ----      54'1B     52'4A     ----      58'1    +5'0                   53'1
3550       ----      49'1B     47'4A     ----      53'1    +5'0                   48'1
3600       ----      48'3B     42'4A     ----      48'1    +5'0                   43'1
3650       ----      43'4B     37'4A     ----      43'1    +5'0                   38'1                       1
3700       ----      38'2B     32'4A     ----      38'1    +5'0                   33'1                      80
