date,S_up_gamma,S_up_gamma_5,S_down_gamma,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2017-04-17,13737.639538763586,26103.65370421329,12641.531144519933,22178.8524323165,12366.014165449706,9537.321287796567
2017-04-19,14407.643488724603,27586.71118244953,12151.186251651003,21357.5239459813,13179.067693724926,9206.337694330296
2017-04-20,13736.062811988286,26283.026543363674,11771.977936230012,21478.576912237873,12546.963731375388,9706.598976007861
2017-04-21,13065.744208615699,20842.61828804879,10765.715506006829,17881.794146559394,7776.8740794330915,7116.078640552565
2017-04-24,21746.52863064216,30177.039013759077,15991.54991012611,25534.45048463365,8430.510383116918,9542.90057450754
2017-04-25,23550.821757400576,30956.623611128623,18784.288064122127,30260.06394871908,7405.801853728048,11475.775884596951
2017-04-27,23843.874506525262,32931.85221802987,16727.238397867008,25331.37629155034,9087.977711504605,8604.137893683332
2017-04-28,23714.813890309124,32741.25776147591,15762.307607244726,24070.58453656512,9026.443871166786,8308.276929320393
2017-05-01,25373.334620132173,35365.86575802691,17475.17995257405,26270.687696636476,9992.531137894734,8795.507744062426
2017-05-03,25391.546155083844,34897.037738184496,19683.389149450202,32377.19226861337,9505.491583100651,12693.803119163167
2017-05-05,28191.377859463966,37384.81253727236,21381.556866075778,34819.660529064306,9193.434677808393,13438.103662988528
2017-05-09,27589.23515404151,38800.901754233266,19080.06332189065,31162.2772411384,11211.666600191755,12082.213919247748
2017-05-10,29871.72537802317,39853.47925989081,18383.841700383982,33231.67682431542,9981.75388186764,14847.83512393144
2017-05-16,27746.243890758633,41632.728069316676,18254.20760160607,32689.18588744639,13886.484178558043,14434.97828584032
2017-05-18,29928.58967476941,41556.60926170277,19668.036267997417,37940.5136185508,11628.019586933358,18272.477350553385
2017-05-22,32126.568395274528,48138.564345130275,16335.426310854751,28278.19142472108,16011.995949855747,11942.76511386633
2017-05-24,28129.509413961474,42352.00751407845,17484.20654076941,27588.36699419585,14222.498100116973,10104.16045342644
2017-05-25,28219.539925880377,42479.67202062724,17777.93722822776,29437.583032897404,14260.13209474686,11659.645804669643
2017-05-31,26410.43964712086,44844.80955806935,10160.159303936935,15987.15588839906,18434.369910948488,5826.996584462126
2017-06-02,26803.07399320655,45221.26931858883,10247.044427289327,16272.315729314214,18418.195325382276,6025.271302024887
2017-06-09,33681.26244719969,52105.340066679484,17316.086564305344,30020.874754653618,18424.077619479795,12704.788190348274
2017-06-12,35960.74397615477,54330.20929521263,19306.061879639656,33360.843175540045,18369.46531905786,14054.78129590039
2017-06-13,32621.169472223148,51634.20666230835,15485.14810386156,26215.1587185885,19013.037190085204,10730.01061472694
2017-06-14,33202.26938560588,54089.29238284267,14826.783831191795,25931.945239587036,20887.02299723679,11105.16140839524
2017-06-15,33189.527740444326,54361.70139714301,15247.397753013953,26609.958848674636,21172.173656698687,11362.561095660683
2017-06-16,32239.92080405804,51705.11929988448,17372.866892046703,30268.711052011684,19465.198495826437,12895.844159964981
2017-06-19,32590.049548686868,52254.13837104944,17563.152826822952,30592.471088566806,19664.088822362573,13029.318261743854
2017-06-20,32012.235068501934,52999.24104218493,17277.47443312546,30233.556697518783,20987.005973682993,12956.082264393324
2017-06-21,31230.88795529982,46061.27063888362,14090.428197483243,24182.47321543409,14830.382683583804,10092.045017950846
2017-06-22,30684.003110687143,47789.640117056224,13783.689106749745,21330.026245935413,17105.63700636908,7546.337139185667
2017-06-23,25805.666373252385,38644.913111590315,11148.07133475184,16610.822062769013,12839.24673833793,5462.750728017174
2017-06-26,25135.813120928346,35735.324870007746,12153.072867233139,17484.544631214725,10599.5117490794,5331.471763981586
2017-06-27,25891.158893219636,37212.53865748858,11984.237715033361,17680.42700821899,11321.379764268942,5696.189293185629
2017-06-28,31227.954907784777,44646.60474206107,13013.360022295157,19399.49143136812,13418.649834276293,6386.131409072961
2017-06-30,32910.00489382699,46095.41587558924,17804.455670238793,25024.6609785261,13185.410981762252,7220.205308287306
2017-07-03,38957.94760216373,48661.57985845805,25992.70023702944,38131.678423700214,9703.632256294317,12138.978186670774
2017-07-04,39098.89844191734,48838.19754081053,26086.880656141217,38270.395974330466,9739.299098893185,12183.51531818925
2017-07-06,36169.36943764491,43318.20356404611,27928.388151709587,45387.87635809584,7148.834126401198,17459.488206386253
2017-07-07,34613.12117339318,41968.630582878475,27609.222001230835,45259.73969769906,7355.5094094852975,17650.51769646822
2017-07-10,36510.32061940227,44675.4522575934,25585.587704035195,44543.21315754152,8165.131638191131,18957.625453506324
2017-07-12,32741.74931407534,39726.89953529336,23703.56152883121,43263.11949394402,6985.150221218024,19559.557965112806
2017-07-14,32338.08178607301,44202.77432165082,28033.34250104663,47319.306909286155,11864.692535577808,19285.964408239524
2017-07-17,33989.5583354996,45509.809104191416,24957.667151797563,45595.47138010453,11520.250768691818,20637.804228306966
2017-07-18,30429.81634200982,42353.61281517316,24325.179908282917,44469.51908779946,11923.79647316334,20144.339179516544
2017-07-19,35741.1539055606,48339.45854874312,21759.745565156158,37151.21031947758,12598.30464318252,15391.46475432142
2017-07-20,37004.1519971805,49271.932140911995,22401.386352784637,38680.17787153491,12267.780143731492,16278.79151875027
2017-07-21,35353.85534183849,43979.68228309187,25767.041991982933,43107.74487065126,8625.826941253377,17340.702878668326
