date,W_up_gamma,W_up_gamma_5,W_down_gamma,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2017-10-13,13185.9254077142,22304.26881248098,1982.0788212437246,3951.3563918477753,9118.34340476678,1969.2775706040507
2017-10-16,11147.866600055482,18086.779017651035,4883.7326439160115,8423.633307651844,6938.912417595553,3539.9006637358325
2017-10-17,12434.857106163918,19938.639149972827,4921.254797519321,7641.020531808839,7503.782043808909,2719.765734289518
2017-10-20,11948.870301882043,21104.88930991691,4252.259658267595,6438.419985822657,9156.019008034868,2186.1603275550615
2017-10-24,10667.562362714561,16705.59636769622,4664.787257302947,7103.251190681847,6038.034004981659,2438.4639333789
2017-10-25,11163.353111727021,18649.327488411767,4226.147455300331,6971.094383556969,7485.974376684746,2744.946928256638
2017-10-31,10268.734897249306,18879.024906775445,2022.0594402285033,3688.7370230051306,8610.29000952614,1666.6775827766273
2017-11-02,10654.94329620226,19071.58346452096,2043.193707659132,3234.337724980485,8416.640168318701,1191.1440173213527
2017-11-07,8935.819685522489,16615.247814868377,3127.890945799028,5299.886501507564,7679.428129345888,2171.9955557085364
2017-11-09,9298.166699369212,18616.597361614855,3639.9180298702654,6080.240491718434,9318.430662245642,2440.3224618481686
2017-11-10,10251.82803788788,19581.28795676144,3392.2046479391042,6086.67441677114,9329.45991887356,2694.469768832036
2017-11-13,6356.830697709074,14181.892792964372,5002.79604042652,8507.032209879477,7825.062095255298,3504.2361694529563
2017-11-16,8382.405827934885,15131.115624255455,2011.396877422772,4186.534511189167,6748.709796320571,2175.1376337663946
2017-11-17,8758.16318352799,16042.22461411372,2584.1679285534938,4883.281232506562,7284.061430585731,2299.1133039530687
2017-11-20,8604.962329769456,12787.413806791876,4093.1301079604054,7358.487527550572,4182.45147702242,3265.3574195901665
2017-11-21,8429.963884256504,14794.841509103964,2405.441909719702,4931.805982552261,6364.8776248474605,2526.3640728325595
2017-11-23,7926.239069816639,14706.247661856467,3222.485060698862,6235.508449913059,6780.008592039828,3013.023389214197
2017-11-27,8730.615386239633,12052.912437140787,2149.7935895347428,2871.4813459749826,3322.297050901154,721.6877564402398
2017-11-30,9350.742699856994,12469.598373279967,3003.512457024377,3992.682289912711,3118.8556734229733,989.169832888334
2017-12-12,9385.600251546557,13486.052843363663,2717.1279284687243,3882.8047514714763,4100.452591817106,1165.676823002752
2017-12-13,7234.725476317386,11723.168125271288,2905.1173462411793,3584.1231856879435,4488.442648953902,679.0058394467642
2017-12-27,13349.505043503217,18180.154550499297,6473.376059885852,8961.338629548845,4830.64950699608,2487.9625696629937
2018-01-03,14722.486681213108,18901.52797460872,8954.975607585638,15046.42188546437,4179.041293395614,6091.446277878731
2018-01-12,16444.13273688822,22204.496121423123,9302.447123225911,16443.222301856244,5760.363384534903,7140.775178630332
2018-01-18,15344.681254708858,26168.013451532915,6851.240251760493,11477.343590417238,10823.332196824058,4626.103338656745
2018-01-19,17030.64201917041,27503.66929188265,5372.406321114449,9853.578990210402,10473.02727271224,4481.172669095953
2018-01-23,14933.155436754547,22322.422445888995,5182.620791073451,10299.651329382325,7389.267009134448,5117.0305383088735
2018-02-01,15163.356225688478,19211.303685722192,9372.873644558915,15952.019145952992,4047.9474600337144,6579.145501394078
2018-02-06,14577.154415533112,21511.41079091473,6430.6188411761705,12963.910006800072,6934.256375381619,6533.291165623901
2018-02-13,9375.118335217061,12740.887916092795,11064.401046708144,19701.299731149124,3365.7695808757344,8636.89868444098
