,0,ret_5
2018-12-20 09:29:00-06:00,"b'When I begrudgingly signed the Omnibus Bill, I was promised the Wall and Border Security by leadership. Would be do\\u2026 https://t.co/ppJfdolsmG'",-0.002686299870659636
2018-10-12 11:44:00-05:00,"b'PROMISES MADE, PROMISES KEPT! https://t.co/2lk8Fjspe4'",-0.002633969118982743
2018-10-31 11:44:00-05:00,"b'Paul Ryan should be focusing on holding the Majority rather than giving his opinions on Birthright Citizenship, som\\u2026 https://t.co/fWpqNevAGI'",-0.0025598829767782046
2018-11-05 09:19:00-06:00,b'So funny to see the CNN Fake Suppression Polls and false rhetoric. Watch for real results Tuesday. We are lucky CNN\\u2026 https://t.co/17t8JrGdsP',-0.00255964896242801
2019-03-08 14:51:00-06:00,b'Sessions didn\\u2019t have a clue! https://t.co/XlLpnINOBv',-0.002546148949713558
2018-12-07 07:14:00-06:00,b'China talks are going very well!',-0.002505800464037123
2018-04-04 06:20:00-05:00,"b'Our Border Laws are very weak while those of Mexico &amp; Canada are very strong. Congress must change these Obama era,\\u2026 https://t.co/fdAJq8zImx'",-0.002505299672383889
2019-09-03 08:34:00-05:00,"b'For all of the \\u201cgeniuses\\u201d out there, many who have been in other administrations and \\u201ctaken to the cleaners\\u201d by Chi\\u2026 https://t.co/XESNGWhzSm'",-0.002496341568391151
2019-05-23 09:28:00-05:00,"b'When the Democrats in Congress refinish, for the 5th time, their Fake work on their very disappointing Mueller Repo\\u2026 https://t.co/v4RmyV26Uv'",-0.002479412025148322
2018-10-26 13:23:00-05:00,"b'It is my great honor to be with so many brilliant, courageous, patriotic, and PROUD AMERICANS. Seeing all of you he\\u2026 https://t.co/jlwbDq6E14'",-0.0024267313795034535
2018-04-04 06:23:00-05:00,"b'We are not in a trade war with China, that war was lost many years ago by the foolish, or incompetent, people who r\\u2026 https://t.co/E5TbG7MiGS'",-0.002408941992676816
2018-04-04 08:21:00-05:00,"b'When you\\u2019re already $500 Billion DOWN, you can\\u2019t lose!'",-0.002405696689761355
2019-08-29 08:20:00-05:00,"b'The Farmers are going to be so happy when they see what we are doing for Ethanol, not even including the E-15, year\\u2026 https://t.co/WbPYKPdaVI'",-0.002398903358464702
2018-03-21 13:57:00-05:00,"b'I called President Putin of Russia to congratulate him on his election victory (in past, Obama called him also). Th\\u2026 https://t.co/GZNDtLqkop'",-0.0023716136094134818
2018-11-12 12:22:00-06:00,"b'Hopefully, Saudi Arabia and OPEC will not be cutting oil production. Oil prices should be much lower based on supply!'",-0.0023647112323783538
2018-10-10 11:06:00-05:00,b'We are with you Florida! https://t.co/qzrVLeFbyF\\nhttps://t.co/HVVhSmBg7S https://t.co/rcB6OCwLeH',-0.0023619980754089756
2019-10-07 09:02:00-05:00,"b'Heritage Foundation \\u201cThese numbers are blockbusters. Just since Donald Trump took office, Median Family Incomrs are\\u2026 https://t.co/b9r3388d06'b'....doesn\\u2019t even include the almost $2000 that the families got from the Trump Tax Cut.\\u201d Stephen Moore, Freedomwork\\u2026 https://t.co/AxC4iODyUF'",-0.0022984591810675066
2018-12-28 06:50:00-06:00,b'.....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre\\u2026 https://t.co/zvvuOTf3oS',-0.0022896963663514187
2018-02-22 08:54:00-06:00,b'Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation\\u2019\\u2026 https://t.co/USyL5x0ujR',-0.0022812300392371565
2019-08-07 09:47:00-05:00,"b'Today, we honor all of our Country\\u2019s Purple Heart recipients, their loved ones, and our Gold Star Families for thei\\u2026 https://t.co/kjeha7aZsA'",-0.0022733234239748186
2019-10-04 08:30:00-05:00,b'https://t.co/uYyoaCXuqu',-0.0022264086316150025
2019-04-25 09:36:00-05:00,b'I will be interviewed by @seanhannity tonight at 9:00 PM on @FoxNews. Enjoy!',-0.0022241231822070144
2018-10-31 09:18:00-05:00,"b'....Harry Reid was right in 1993, before he and the Democrats went insane and started with the Open Borders (which\\u2026 https://t.co/JlXxWCIzXG'",-0.0021939848249382943
